Nombre,Hora,Diferencia_Minutos
[338] A LA PLATA (X PASCO),00:23:02,23
[338] A LA PLATA (X RUTA 4),00:43:02,20
[338] A LA PLATA (X PASCO),01:33:02,50
[338] A LA PLATA (X PASCO),04:23:02,170
[338] A LA PLATA (X RUTA 4),04:43:02,20
[338] A LA PLATA (X PASCO),05:23:02,40
[338] A LA PLATA (X RUTA 4),05:43:02,20
[338] A LA PLATA (X PASCO),06:23:02,40
[338] A LA PLATA (X RUTA 4),06:43:02,20
[338] A LA PLATA (X PASCO),07:23:02,40
[338] A LA PLATA (X RUTA 4),07:43:02,20
[338] A LA PLATA (X PASCO),08:23:02,40
[338] A LA PLATA (X RUTA 4),08:43:02,20
[338] A LA PLATA (X PASCO),09:23:02,40
[338] A LA PLATA (X RUTA 4),09:43:02,20
[338] A LA PLATA (X PASCO),10:23:02,40
[338] A LA PLATA (X RUTA 4),10:43:02,20
[338] A LA PLATA (X PASCO),11:23:02,40
[338] A LA PLATA (X RUTA 4),11:43:02,20
[338] A LA PLATA (X PASCO),12:23:02,40
[338] A LA PLATA (X RUTA 4),12:43:02,20
[338] A LA PLATA (X PASCO),13:23:02,40
[338] A LA PLATA (X RUTA 4),13:43:02,20
[338] A LA PLATA (X PASCO),14:23:02,40
[338] A LA PLATA (X RUTA 4),14:43:02,20
[338] A LA PLATA (X PASCO),15:23:02,40
[338] A LA PLATA (X RUTA 4),15:43:02,20
[338] A LA PLATA (X PASCO),16:23:02,40
[338] A LA PLATA (X RUTA 4),16:43:02,20
[338] A LA PLATA (X PASCO),17:23:02,40
[338] A LA PLATA (X RUTA 4),17:43:02,20
[338] A LA PLATA (X PASCO),18:23:02,40
[338] A LA PLATA (X RUTA 4),18:43:02,20
[338] A LA PLATA (X PASCO),19:23:02,40
[338] A LA PLATA (X RUTA 4),19:43:02,20
[338] A LA PLATA (X PASCO),20:23:02,40
[338] A LA PLATA (X RUTA 4),20:43:02,20
[338] A LA PLATA (X PASCO),21:23:02,40
[338] A LA PLATA (X RUTA 4),21:43:02,20
[338] A LA PLATA (X PASCO),22:23:02,40
[338] A LA PLATA (X RUTA 4),22:43:02,20
[338] A LA PLATA (X PASCO),23:23:02,40
[338] A LA PLATA (X RUTA 4),23:43:02,20
