Nombre,Hora,Diferencia_Minutos
[338] A SAN JUSTO (X RUTA 4),00:02:57,3
[338] A SAN JUSTO (X PASCO),00:42:57,40
[338] A SAN JUSTO (X RUTA 4),01:22:57,40
[338] A SAN JUSTO (X PASCO),01:40:57,18
[338] A SAN JUSTO (X PASCO),03:42:57,122
[338] A SAN JUSTO (X RUTA 4),04:21:59,39
[338] A SAN JUSTO (X PASCO),04:55:59,34
[338] LA PLATA - VARELA (X BELGRANO),04:58:57,3
[338] LA PLATA - VARELA (X BELGRANO),05:25:57,27
[338] A SAN JUSTO (X RUTA 4),05:36:59,11
[338] LA PLATA - VARELA (X BELGRANO),06:03:57,27
[338] A SAN JUSTO (X PASCO),06:12:55,9
[338] LA PLATA - VARELA (X BELGRANO),06:23:57,11
[338] A SAN JUSTO (X RUTA 4),06:46:55,23
[338] A SAN JUSTO (X PASCO),07:20:55,34
[338] A SAN JUSTO (X RUTA 4),07:39:55,19
[338] A SAN JUSTO (X PASCO),07:59:55,20
[338] A SAN JUSTO (X RUTA 4),08:15:55,16
[338] A SAN JUSTO (X PASCO),08:31:55,16
[338] A SAN JUSTO (X RUTA 4),08:47:55,16
[338] LA PLATA - VARELA (X BELGRANO),08:53:57,6
[338] A SAN JUSTO (X PASCO),09:03:55,10
[338] A SAN JUSTO (X RUTA 4),09:20:55,17
[338] LA PLATA - VARELA (X BELGRANO),09:26:57,6
[338] A SAN JUSTO (X PASCO),09:39:55,13
[338] LA PLATA - VARELA (X BELGRANO),09:48:57,9
[338] A SAN JUSTO (X RUTA 4),09:59:55,11
[338] A SAN JUSTO (X PASCO),10:15:55,16
[338] LA PLATA - VARELA (X BELGRANO),10:22:57,7
[338] A SAN JUSTO (X RUTA 4),10:31:55,9
[338] A SAN JUSTO (X PASCO),10:54:55,23
[338] A SAN JUSTO (X RUTA 4),11:07:55,13
[338] A SAN JUSTO (X PASCO),11:21:55,14
[338] A SAN JUSTO (X RUTA 4),11:35:55,14
[338] A SAN JUSTO (X PASCO),11:57:55,22
[338] A SAN JUSTO (X RUTA 4),12:07:58,10
[338] A SAN JUSTO (X PASCO),12:18:58,11
[338] A SAN JUSTO (X RUTA 4),12:35:55,17
[338] A SAN JUSTO (X PASCO),12:57:58,22
[338] A SAN JUSTO (X RUTA 4),13:10:58,13
[338] A SAN JUSTO (X PASCO),13:26:58,16
[338] A SAN JUSTO (X RUTA 4),13:43:55,17
[338] A SAN JUSTO (X PASCO),14:00:58,17
[338] A SAN JUSTO (X RUTA 4),14:13:58,13
[338] A SAN JUSTO (X PASCO),14:33:58,20
[338] A SAN JUSTO (X RUTA 4),14:43:58,10
[338] A SAN JUSTO (X PASCO),14:52:55,9
[338] A SAN JUSTO (X RUTA 4),15:09:58,17
[338] A MORON (X RUTA 4),15:13:58,4
[338] A SAN JUSTO (X PASCO),15:22:58,9
[338] A SAN JUSTO (X RUTA 4),15:38:58,16
[338] A SAN JUSTO (X PASCO),15:48:58,10
[338] A SAN JUSTO (X RUTA 4),16:02:58,14
[338] A SAN JUSTO (X PASCO),16:10:58,8
[338] A SAN JUSTO (X RUTA 4),16:20:58,10
[338] A MORON (X PASCO),16:33:58,13
[338] A SAN JUSTO (X RUTA 4),16:50:58,17
[338] A SAN JUSTO (X PASCO),17:03:58,13
[338] A SAN JUSTO (X RUTA 4),17:14:58,11
[338] A SAN JUSTO (X PASCO),17:29:58,15
[338] A SAN JUSTO (X RUTA 4),17:41:58,12
[338] A SAN JUSTO (X PASCO),17:51:58,10
[338] A SAN JUSTO (X RUTA 4),18:01:58,10
[338] A MORON (X PASCO),18:11:58,10
[338] A SAN JUSTO (X RUTA 4),18:25:58,14
[338] A SAN JUSTO (X PASCO),18:33:58,8
[338] A SAN JUSTO (X RUTA 4),18:43:58,10
[338] A SAN JUSTO (X PASCO),18:55:58,12
[338] A SAN JUSTO (X RUTA 4),19:05:58,10
[338] A SAN JUSTO (X PASCO),19:11:58,6
[338] A SAN JUSTO (X RUTA 4),19:40:58,29
[338] A SAN JUSTO (X PASCO),19:52:58,12
[338] A SAN JUSTO (X RUTA 4),20:03:57,11
[338] A SAN JUSTO (X PASCO),20:17:55,14
[338] A SAN JUSTO (X RUTA 4),20:23:57,6
[338] A SAN JUSTO (X PASCO),20:40:57,17
[338] A SAN JUSTO (X RUTA 4),20:51:57,11
[338] A SAN JUSTO (X PASCO),20:53:57,2
[338] A SAN JUSTO (X RUTA 4),21:22:57,29
[338] A SAN JUSTO (X PASCO),21:52:57,30
[338] A SAN JUSTO (X RUTA 4),22:02:57,10
[338] A SAN JUSTO (X PASCO),22:10:57,8
[338] A SAN JUSTO (X RUTA 4),22:42:57,32
[338] A SAN JUSTO (X PASCO),23:02:57,20
[338] A SAN JUSTO (X RUTA 4),23:22:57,20
[338] A SAN JUSTO (X PASCO),23:30:57,8
