Nombre,Hora,Diferencia_Minutos
[338] A SAN JUSTO (X RUTA 4),00:31:59,32
[338] A SAN JUSTO (X PASCO),01:01:59,30
[338] A SAN JUSTO (X PASCO),02:51:59,110
[338] A SAN JUSTO (X RUTA 4),03:46:59,55
[338] LA PLATA - VARELA (X BELGRANO),04:07:59,21
[338] A SAN JUSTO (X PASCO),04:20:59,13
[338] LA PLATA - VARELA (X BELGRANO),04:37:59,17
[338] A VARELA (X CENTENARIO),04:51:59,14
[338] A SAN JUSTO (X RUTA 4),05:01:59,10
[338] LA PLATA - VARELA (X BELGRANO),05:12:59,11
[338] A VARELA (X CENTENARIO),05:21:59,9
[338] A SAN JUSTO (X PASCO),05:31:59,10
[338] LA PLATA - VARELA (X BELGRANO),05:32:59,1
[338] A SAN JUSTO (X RUTA 4),05:56:59,24
[338] A VARELA (X CENTENARIO),06:16:59,20
[338] A SAN JUSTO (X PASCO),06:28:59,12
[338] A SAN JUSTO (X RUTA 4),06:47:59,19
[338] A SAN JUSTO (X PASCO),07:07:59,20
[338] A MORON (X RUTA 4),07:23:59,16
[338] A VARELA (X CENTENARIO),07:30:59,7
[338] A SAN JUSTO (X PASCO),07:39:59,9
[338] A SAN JUSTO (X RUTA 4),07:55:59,16
[338] LA PLATA - VARELA (X BELGRANO),08:02:59,7
[338] A SAN JUSTO (X PASCO),08:11:59,9
[338] A VARELA (X CENTENARIO),08:18:59,7
[338] A MORON (X RUTA 4),08:28:59,10
[338] LA PLATA - VARELA (X BELGRANO),08:37:59,9
[338] A SAN JUSTO (X PASCO),08:47:59,10
[338] LA PLATA - VARELA (X BELGRANO),08:57:59,10
[338] A SAN JUSTO (X RUTA 4),09:07:59,10
[338] A VARELA (X CENTENARIO),09:14:59,7
[338] A SAN JUSTO (X PASCO),09:25:59,11
[338] LA PLATA - VARELA (X BELGRANO),09:31:59,6
[338] A SAN JUSTO (X RUTA 4),09:40:59,9
[338] A VARELA (X CENTENARIO),09:51:59,11
[338] A SAN JUSTO (X PASCO),10:02:59,11
[338] A SAN JUSTO (X RUTA 4),10:15:59,13
[338] A SAN JUSTO (X PASCO),10:29:59,14
[338] A VARELA (X CENTENARIO),10:43:59,14
[338] A SAN JUSTO (X RUTA 4),10:52:59,9
[338] A SAN JUSTO (X PASCO),11:05:59,13
[338] A SAN JUSTO (X RUTA 4),11:17:59,12
[338] A SAN JUSTO (X PASCO),11:29:59,12
[338] A SAN JUSTO (X RUTA 4),11:44:59,15
[338] A VARELA (X CENTENARIO),11:55:59,11
[338] A SAN JUSTO (X PASCO),12:04:59,9
[338] A SAN JUSTO (X RUTA 4),12:17:59,13
[338] A VARELA (X CENTENARIO),12:26:59,9
[338] A SAN JUSTO (X PASCO),12:37:59,11
[338] A SAN JUSTO (X RUTA 4),12:52:59,15
[338] A SAN JUSTO (X PASCO),13:04:59,12
[338] A SAN JUSTO (X RUTA 4),13:17:59,13
[338] A VARELA (X CENTENARIO),13:28:59,11
[338] A SAN JUSTO (X PASCO),13:37:59,9
[338] A MORON (X RUTA 4),13:47:59,10
[338] A SAN JUSTO (X PASCO),13:57:59,10
[338] A VARELA (X CENTENARIO),14:03:59,6
[338] A SAN JUSTO (X RUTA 4),14:12:59,9
[338] A MORON (X RUTA 4),14:22:59,10
[338] A SAN JUSTO (X PASCO),14:32:59,10
[338] A SAN JUSTO (X RUTA 4),14:42:59,10
[338] A VARELA (X CENTENARIO),14:51:59,9
[338] A SAN JUSTO (X PASCO),15:02:59,11
[338] A SAN JUSTO (X RUTA 4),15:12:59,10
[338] A SAN JUSTO (X PASCO),15:22:59,10
[338] A VARELA (X CENTENARIO),15:28:59,6
[338] A MORON (X RUTA 4),15:40:59,12
