Nombre,Hora,Diferencia_Minutos
[338] A SAN JUSTO (X RUTA 4),00:05:59,6
[338] A SAN JUSTO (X PASCO),00:31:59,26
[338] A SAN JUSTO (X RUTA 4),01:05:59,34
[338] A SAN JUSTO (X PASCO),01:31:59,26
[338] A SAN JUSTO (X RUTA 4),02:05:59,34
[338] A SAN JUSTO (X PASCO),02:31:59,26
[338] A SAN JUSTO (X RUTA 4),03:15:59,44
[338] A VARELA (X CENTENARIO),05:08:59,113
[338] A VARELA (X CENTENARIO),05:47:59,39
[338] A SAN JUSTO (X RUTA 4),06:05:59,18
[338] A SAN JUSTO (X PASCO),06:31:59,26
[338] A VARELA (X CENTENARIO),06:52:59,21
[338] A SAN JUSTO (X RUTA 4),07:05:59,13
[338] A SAN JUSTO (X PASCO),07:31:59,26
[338] A VARELA (X CENTENARIO),07:49:59,18
[338] A SAN JUSTO (X RUTA 4),08:05:59,16
[338] A SAN JUSTO (X PASCO),08:31:59,26
[338] A VARELA (X CENTENARIO),08:47:59,16
[338] A SAN JUSTO (X RUTA 4),09:05:59,18
[338] A SAN JUSTO (X PASCO),09:31:59,26
[338] A VARELA (X CENTENARIO),09:47:59,16
[338] A SAN JUSTO (X RUTA 4),10:05:59,18
[338] A VARELA (X CENTENARIO),10:20:59,15
[338] A SAN JUSTO (X PASCO),10:31:59,11
[338] A VARELA (X CENTENARIO),10:52:59,21
[338] A SAN JUSTO (X RUTA 4),11:05:59,13
[338] A SAN JUSTO (X PASCO),11:31:59,26
[338] A VARELA (X CENTENARIO),11:49:59,18
[338] A SAN JUSTO (X RUTA 4),12:05:59,16
[338] A SAN JUSTO (X PASCO),12:31:59,26
[338] A VARELA (X CENTENARIO),12:49:59,18
[338] A SAN JUSTO (X RUTA 4),13:05:59,16
[338] A SAN JUSTO (X PASCO),13:31:59,26
[338] A VARELA (X CENTENARIO),13:48:59,17
[338] A SAN JUSTO (X RUTA 4),14:05:59,17
[338] A SAN JUSTO (X PASCO),14:31:59,26
[338] A VARELA (X CENTENARIO),14:49:59,18
[338] A SAN JUSTO (X RUTA 4),15:05:59,16
[338] A SAN JUSTO (X PASCO),15:31:59,26
[338] A VARELA (X CENTENARIO),15:49:59,18
[338] A SAN JUSTO (X RUTA 4),16:05:59,16
[338] A VARELA (X CENTENARIO),16:19:59,14
[338] A SAN JUSTO (X PASCO),16:31:59,12
[338] A VARELA (X CENTENARIO),16:52:59,21
[338] A SAN JUSTO (X RUTA 4),17:05:59,13
[338] A SAN JUSTO (X PASCO),17:31:59,26
[338] A VARELA (X CENTENARIO),17:49:59,18
[338] A SAN JUSTO (X RUTA 4),18:05:59,16
[338] A SAN JUSTO (X PASCO),18:31:59,26
[338] A VARELA (X CENTENARIO),18:49:59,18
[338] A SAN JUSTO (X RUTA 4),19:05:59,16
[338] A SAN JUSTO (X PASCO),19:31:59,26
[338] A VARELA (X CENTENARIO),19:52:59,21
[338] A SAN JUSTO (X RUTA 4),20:05:59,13
[338] A SAN JUSTO (X PASCO),20:31:59,26
[338] A VARELA (X CENTENARIO),20:52:59,21
[338] A SAN JUSTO (X RUTA 4),21:05:59,13
[338] A SAN JUSTO (X PASCO),21:31:59,26
[338] A VARELA (X CENTENARIO),21:52:59,21
[338] A SAN JUSTO (X RUTA 4),22:05:59,13
[338] A SAN JUSTO (X PASCO),22:31:59,26
[338] A SAN JUSTO (X RUTA 4),23:05:59,34
[338] A SAN JUSTO (X PASCO),23:31:59,26
