Nombre,Hora,Diferencia_Minutos
[338] A SAN JUSTO (X PASCO),00:05:30,6
[338] A SAN JUSTO (X RUTA 4),00:45:31,40
[338] A SAN JUSTO (X PASCO),01:12:30,27
[338] A SAN JUSTO (X PASCO),03:05:30,113
[338] A SAN JUSTO (X RUTA 4),03:54:31,49
[338] LA PLATA - VARELA (X BELGRANO),04:17:46,23
[338] A SAN JUSTO (X PASCO),04:28:30,11
[338] LA PLATA - VARELA (X BELGRANO),04:45:46,17
[338] A VARELA (X CENTENARIO),05:00:45,15
[338] A SAN JUSTO (X RUTA 4),05:09:31,9
[338] LA PLATA - VARELA (X BELGRANO),05:22:46,13
[338] A VARELA (X CENTENARIO),05:30:45,8
[338] A SAN JUSTO (X PASCO),05:39:30,9
[338] LA PLATA - VARELA (X BELGRANO),05:42:46,3
[338] A SAN JUSTO (X RUTA 4),06:04:46,22
[338] A VARELA (X CENTENARIO),06:25:45,21
[338] A SAN JUSTO (X PASCO),06:38:45,13
[338] A SAN JUSTO (X RUTA 4),06:57:46,19
[338] A SAN JUSTO (X PASCO),07:17:45,20
[338] A SAN JUSTO (X RUTA 4),07:35:46,18
[338] A VARELA (X CENTENARIO),07:39:45,4
[338] A SAN JUSTO (X PASCO),07:49:45,10
[338] A SAN JUSTO (X RUTA 4),08:05:46,16
[338] LA PLATA - VARELA (X BELGRANO),08:12:46,7
[338] A SAN JUSTO (X PASCO),08:21:45,9
[338] A VARELA (X CENTENARIO),08:27:45,6
[338] A SAN JUSTO (X RUTA 4),08:40:46,13
[338] LA PLATA - VARELA (X BELGRANO),08:45:46,5
[338] A SAN JUSTO (X PASCO),08:57:45,12
[338] LA PLATA - VARELA (X BELGRANO),09:07:46,10
[338] A SAN JUSTO (X RUTA 4),09:17:46,10
[338] A VARELA (X CENTENARIO),09:23:45,6
[338] A SAN JUSTO (X PASCO),09:33:45,10
[338] LA PLATA - VARELA (X BELGRANO),09:41:46,8
[338] A SAN JUSTO (X RUTA 4),09:50:46,9
[338] A VARELA (X CENTENARIO),10:00:45,10
[338] A SAN JUSTO (X PASCO),10:12:45,12
[338] A SAN JUSTO (X RUTA 4),10:25:46,13
[338] A SAN JUSTO (X PASCO),10:39:45,14
[338] A SAN JUSTO (X RUTA 4),10:54:46,15
[338] A VARELA (X CENTENARIO),11:00:45,6
[338] A SAN JUSTO (X PASCO),11:15:45,15
[338] A SAN JUSTO (X RUTA 4),11:27:46,12
[338] A SAN JUSTO (X PASCO),11:39:45,12
