Nombre,Hora,Diferencia_Minutos
[338] A SAN JUSTO (X RUTA 4),00:12:31,13
[338] A SAN JUSTO (X PASCO),00:38:30,26
[338] A SAN JUSTO (X RUTA 4),01:12:31,34
[338] A SAN JUSTO (X PASCO),01:38:30,26
[338] A SAN JUSTO (X RUTA 4),02:12:31,34
[338] A SAN JUSTO (X PASCO),02:38:30,26
[338] A SAN JUSTO (X RUTA 4),03:22:31,44
[338] A VARELA (X CENTENARIO),05:17:30,115
[338] A VARELA (X CENTENARIO),05:56:30,39
[338] A SAN JUSTO (X RUTA 4),06:12:31,16
[338] A SAN JUSTO (X PASCO),06:38:30,26
[338] A VARELA (X CENTENARIO),07:01:30,23
[338] A SAN JUSTO (X RUTA 4),07:12:31,11
[338] A SAN JUSTO (X PASCO),07:38:30,26
[338] A VARELA (X CENTENARIO),07:58:30,20
[338] A SAN JUSTO (X RUTA 4),08:12:31,14
[338] A SAN JUSTO (X PASCO),08:38:30,26
[338] A VARELA (X CENTENARIO),08:56:30,18
[338] A SAN JUSTO (X RUTA 4),09:12:31,16
[338] A SAN JUSTO (X PASCO),09:38:30,26
[338] A VARELA (X CENTENARIO),09:56:30,18
[338] A SAN JUSTO (X RUTA 4),10:12:31,16
[338] A VARELA (X CENTENARIO),10:29:30,17
[338] A SAN JUSTO (X PASCO),10:38:30,9
[338] A VARELA (X CENTENARIO),11:01:30,23
[338] A SAN JUSTO (X RUTA 4),11:12:31,11
[338] A SAN JUSTO (X PASCO),11:38:30,26
[338] A VARELA (X CENTENARIO),11:58:30,20
[338] A SAN JUSTO (X RUTA 4),12:12:31,14
[338] A SAN JUSTO (X PASCO),12:38:30,26
[338] A VARELA (X CENTENARIO),12:58:30,20
[338] A SAN JUSTO (X RUTA 4),13:12:31,14
[338] A SAN JUSTO (X PASCO),13:38:30,26
[338] A VARELA (X CENTENARIO),13:57:30,19
[338] A SAN JUSTO (X RUTA 4),14:12:31,15
[338] A SAN JUSTO (X PASCO),14:38:30,26
[338] A VARELA (X CENTENARIO),14:58:30,20
[338] A SAN JUSTO (X RUTA 4),15:12:31,14
[338] A SAN JUSTO (X PASCO),15:38:30,26
[338] A VARELA (X CENTENARIO),15:58:30,20
[338] A SAN JUSTO (X RUTA 4),16:12:31,14
[338] A VARELA (X CENTENARIO),16:28:30,16
[338] A SAN JUSTO (X PASCO),16:38:30,10
[338] A VARELA (X CENTENARIO),17:01:30,23
[338] A SAN JUSTO (X RUTA 4),17:12:31,11
[338] A SAN JUSTO (X PASCO),17:38:30,26
[338] A VARELA (X CENTENARIO),17:58:30,20
[338] A SAN JUSTO (X RUTA 4),18:12:31,14
[338] A SAN JUSTO (X PASCO),18:38:30,26
[338] A VARELA (X CENTENARIO),18:58:30,20
[338] A SAN JUSTO (X RUTA 4),19:12:31,14
[338] A SAN JUSTO (X PASCO),19:38:30,26
[338] A VARELA (X CENTENARIO),20:01:30,23
[338] A SAN JUSTO (X RUTA 4),20:12:31,11
[338] A SAN JUSTO (X PASCO),20:38:30,26
[338] A VARELA (X CENTENARIO),21:01:30,23
[338] A SAN JUSTO (X RUTA 4),21:12:31,11
[338] A SAN JUSTO (X PASCO),21:38:30,26
[338] A VARELA (X CENTENARIO),22:01:30,23
[338] A SAN JUSTO (X RUTA 4),22:12:31,11
[338] A SAN JUSTO (X PASCO),22:38:30,26
[338] A SAN JUSTO (X RUTA 4),23:12:31,34
[338] A SAN JUSTO (X PASCO),23:38:30,26
[418] A BERAZATEGUI,07:51:01,471
[418] A BERAZATEGUI,11:41:01,230
[418] A BERAZATEGUI,15:36:01,235
[418] A BERAZATEGUI,19:25:01,229
