Nombre,Hora,Diferencia_Minutos
[338] A SAN JUSTO (X PASCO),00:02:30,2
[338] A SAN JUSTO (X RUTA 4),00:41:31,39
[338] A SAN JUSTO (X PASCO),01:21:30,40
[338] A SAN JUSTO (X PASCO),03:02:30,101
[338] A SAN JUSTO (X RUTA 4),04:01:31,59
[338] A SAN JUSTO (X PASCO),04:31:30,30
[338] A VARELA (X CENTENARIO),05:01:30,30
[338] A SAN JUSTO (X RUTA 4),05:16:46,15
[338] A VARELA (X CENTENARIO),05:31:30,15
[338] A SAN JUSTO (X PASCO),05:46:45,15
[338] A SAN JUSTO (X RUTA 4),06:16:46,30
[338] A VARELA (X CENTENARIO),06:26:30,10
[338] A SAN JUSTO (X PASCO),06:37:45,11
[338] A SAN JUSTO (X RUTA 4),06:56:31,19
[338] A SAN JUSTO (X PASCO),07:16:30,20
[338] A SAN JUSTO (X RUTA 4),07:32:31,16
[338] A VARELA (X CENTENARIO),07:40:30,8
[338] A SAN JUSTO (X PASCO),07:48:45,8
[338] A SAN JUSTO (X RUTA 4),08:04:46,16
[338] A SAN JUSTO (X PASCO),08:20:45,16
[338] A VARELA (X CENTENARIO),08:28:30,8
[338] A SAN JUSTO (X RUTA 4),08:38:31,10
[338] A SAN JUSTO (X PASCO),08:59:45,21
[338] A SAN JUSTO (X RUTA 4),09:14:46,15
[338] A VARELA (X CENTENARIO),09:24:30,10
[338] A SAN JUSTO (X PASCO),09:32:30,8
[338] A SAN JUSTO (X RUTA 4),09:49:46,17
[338] A VARELA (X CENTENARIO),09:57:30,8
[338] A SAN JUSTO (X PASCO),10:05:45,8
[338] A SAN JUSTO (X RUTA 4),10:21:46,16
[338] A SAN JUSTO (X PASCO),10:37:30,16
[338] A SAN JUSTO (X RUTA 4),10:53:46,16
[338] A VARELA (X CENTENARIO),11:01:30,8
[338] A SAN JUSTO (X PASCO),11:09:45,8
[338] A SAN JUSTO (X RUTA 4),11:25:46,16
[338] A SAN JUSTO (X PASCO),11:41:30,16
[338] A SAN JUSTO (X RUTA 4),11:57:46,16
[338] A VARELA (X CENTENARIO),12:05:30,8
[338] A SAN JUSTO (X PASCO),12:13:45,8
[338] A SAN JUSTO (X RUTA 4),12:29:46,16
[338] A VARELA (X CENTENARIO),12:36:30,7
[338] A SAN JUSTO (X PASCO),12:45:30,9
[338] A SAN JUSTO (X RUTA 4),13:01:46,16
[338] A SAN JUSTO (X PASCO),13:17:45,16
[338] A SAN JUSTO (X RUTA 4),13:33:46,16
[338] A VARELA (X CENTENARIO),13:41:30,8
[338] A SAN JUSTO (X PASCO),13:49:30,8
[338] A SAN JUSTO (X RUTA 4),14:02:31,13
[338] A SAN JUSTO (X PASCO),14:12:30,10
[338] A VARELA (X CENTENARIO),14:17:30,5
[338] A SAN JUSTO (X RUTA 4),14:22:46,5
[338] A MORON (X RUTA 4),14:37:30,15
[338] A SAN JUSTO (X PASCO),14:38:30,1
[338] A SAN JUSTO (X RUTA 4),14:54:46,16
[338] A SAN JUSTO (X PASCO),15:09:30,15
[338] A VARELA (X CENTENARIO),15:14:30,5
[338] A SAN JUSTO (X RUTA 4),15:18:31,4
[338] A SAN JUSTO (X PASCO),15:26:45,8
[338] A SAN JUSTO (X RUTA 4),15:36:31,10
[338] A MORON (X PASCO),15:50:45,14
[338] A VARELA (X CENTENARIO),15:56:30,6
[338] A SAN JUSTO (X RUTA 4),16:02:46,6
[338] A SAN JUSTO (X PASCO),16:16:30,14
[338] A SAN JUSTO (X RUTA 4),16:30:31,14
[338] A SAN JUSTO (X PASCO),16:45:30,15
[338] A VARELA (X CENTENARIO),16:51:30,6
[338] A SAN JUSTO (X RUTA 4),16:57:31,6
[338] A SAN JUSTO (X PASCO),17:07:45,10
[338] A SAN JUSTO (X RUTA 4),17:17:46,10
[338] A MORON (X PASCO),17:28:45,11
[338] A VARELA (X CENTENARIO),17:32:30,4
[338] A SAN JUSTO (X RUTA 4),17:38:31,6
[338] A SAN JUSTO (X PASCO),17:49:30,11
[338] A SAN JUSTO (X RUTA 4),17:59:46,10
[338] A SAN JUSTO (X PASCO),18:11:30,12
[338] A SAN JUSTO (X RUTA 4),18:21:46,10
[338] A SAN JUSTO (X PASCO),18:34:30,13
[338] A VARELA (X CENTENARIO),18:40:30,6
[338] A SAN JUSTO (X PASCO),18:58:30,18
[338] A SAN JUSTO (X RUTA 4),19:10:46,12
