Nombre,Hora,Diferencia_Minutos
[G] X 19 X BELGRANO A.SEGUI,00:08:53,9
[D] X CENTENARIO A SEGUI,00:35:53,27
[D] X CENTENARIO A SEGUI,01:05:53,30
[D] X CENTENARIO A SEGUI,01:50:53,45
[D] X CENTENARIO A SEGUI,02:30:53,40
[D] X CENTENARIO A SEGUI,04:30:53,120
[G] X 19 X BELGRANO A.SEGUI,05:28:53,58
[D] X CENTENARIO A SEGUI,06:00:53,32
[D] X CENTENARIO A SEGUI,06:30:53,30
[G] X 19 X BELGRANO A.SEGUI,06:43:53,13
[D] X CENTENARIO A SEGUI,07:00:53,17
[G] X 19 X BELGRANO A.SEGUI,07:13:53,13
[D] X CENTENARIO A SEGUI,07:30:53,17
[G] X 19 X BELGRANO A.SEGUI,07:43:53,13
[D] X CENTENARIO A SEGUI,08:00:53,17
[G] X 19 X BELGRANO A.SEGUI,08:16:53,16
[D] X CENTENARIO A SEGUI,08:35:53,19
[G] X 19 X BELGRANO A.SEGUI,08:49:53,14
[D] X CENTENARIO A SEGUI,09:06:53,17
[G] X 19 X BELGRANO A.SEGUI,09:18:53,12
[D] X CENTENARIO A SEGUI,09:36:53,18
[G] X 19 X BELGRANO A.SEGUI,09:48:53,12
[D] X CENTENARIO A SEGUI,10:06:53,18
[G] X 19 X BELGRANO A.SEGUI,10:18:53,12
[D] X CENTENARIO A SEGUI,10:36:53,18
[G] X 19 X BELGRANO A.SEGUI,10:48:53,12
[D] X CENTENARIO A SEGUI,11:06:53,18
[G] X 19 X BELGRANO A.SEGUI,11:18:53,12
[D] X CENTENARIO A SEGUI,11:36:53,18
[G] X 19 X BELGRANO A.SEGUI,11:48:53,12
[D] X CENTENARIO A SEGUI,12:06:53,18
[G] X 19 X BELGRANO A.SEGUI,12:18:53,12
[D] X CENTENARIO A SEGUI,12:36:53,18
[G] X 19 X BELGRANO A.SEGUI,12:48:53,12
[D] X CENTENARIO A SEGUI,13:06:53,18
[G] X 19 X BELGRANO A.SEGUI,13:18:53,12
[D] X CENTENARIO A SEGUI,13:36:53,18
[G] X 19 X BELGRANO A.SEGUI,13:48:53,12
[D] X CENTENARIO A SEGUI,14:06:53,18
[G] X 19 X BELGRANO A.SEGUI,14:18:53,12
[D] X CENTENARIO A SEGUI,14:36:53,18
[G] X 19 X BELGRANO A.SEGUI,14:48:53,12
[D] X CENTENARIO A SEGUI,15:06:53,18
[G] X 19 X BELGRANO A.SEGUI,15:18:53,12
[D] X CENTENARIO A SEGUI,15:36:53,18
[G] X 19 X BELGRANO A.SEGUI,15:48:53,12
[D] X CENTENARIO A SEGUI,16:06:53,18
[G] X 19 X BELGRANO A.SEGUI,16:18:53,12
[D] X CENTENARIO A SEGUI,16:36:53,18
[G] X 19 X BELGRANO A.SEGUI,16:48:53,12
[D] X CENTENARIO A SEGUI,17:06:53,18
[G] X 19 X BELGRANO A.SEGUI,17:18:53,12
[D] X CENTENARIO A SEGUI,17:36:53,18
[G] X 19 X BELGRANO A.SEGUI,17:48:53,12
[D] X CENTENARIO A SEGUI,18:06:53,18
[G] X 19 X BELGRANO A.SEGUI,18:13:53,7
[D] X CENTENARIO A SEGUI,18:26:53,13
[G] X 19 X BELGRANO A.SEGUI,18:33:53,7
[D] X CENTENARIO A SEGUI,18:46:53,13
[G] X 19 X BELGRANO A.SEGUI,18:53:53,7
[D] X CENTENARIO A SEGUI,19:06:53,13
[G] X 19 X BELGRANO A.SEGUI,19:13:53,7
[D] X CENTENARIO A SEGUI,19:26:53,13
[G] X 19 X BELGRANO A.SEGUI,19:33:53,7
[D] X CENTENARIO A SEGUI,19:44:53,11
[G] X 19 X BELGRANO A.SEGUI,19:48:53,4
[D] X CENTENARIO A SEGUI,20:01:53,13
[G] X 19 X BELGRANO A.SEGUI,20:07:53,6
[D] X CENTENARIO A SEGUI,20:20:53,13
[G] X 19 X BELGRANO A.SEGUI,20:27:53,7
[D] X CENTENARIO A SEGUI,20:40:53,13
[G] X 19 X BELGRANO A.SEGUI,20:48:53,8
[D] X CENTENARIO A SEGUI,21:00:53,12
[G] X 19 X BELGRANO A.SEGUI,21:08:53,8
[D] X CENTENARIO A SEGUI,21:25:53,17
[G] X 19 X BELGRANO A.SEGUI,21:38:53,13
[D] X CENTENARIO A SEGUI,22:00:53,22
[G] X 19 X BELGRANO A.SEGUI,22:18:53,18
[D] X CENTENARIO A SEGUI,22:32:53,14
[G] X 19 X BELGRANO A.SEGUI,22:43:53,11
[D] X CENTENARIO A SEGUI,23:15:53,32
[G] X 19 X BELGRANO A.SEGUI,23:28:53,13
[D] X CENTENARIO A SEGUI,23:45:53,17
