Nombre,Hora,Diferencia_Minutos
[338] A LA PLATA (X RUTA 4),00:18:02,18
[338] A LA PLATA (X RUTA 4),01:18:02,60
[338] A LA PLATA (X PASCO),01:58:02,40
[338] A LA PLATA (X RUTA 4),02:44:02,46
[338] A LA PLATA (X PASCO),03:29:02,45
[338] A LA PLATA (X RUTA 4),03:44:02,15
[338] A LA PLATA (X PASCO),04:29:02,45
[338] A LA PLATA (X RUTA 4),04:44:02,15
[338] A LA PLATA (X PASCO),05:21:03,37
[338] A LA PLATA (X RUTA 4),05:23:03,2
[338] A LA PLATA (X PASCO),05:57:03,34
[338] A LA PLATA (X RUTA 4),06:02:03,5
[338] A LA PLATA (X RUTA 4),06:37:03,35
[338] A LA PLATA (X PASCO),06:47:03,10
[338] A LA PLATA (X PASCO),07:09:03,22
[338] A LA PLATA (X RUTA 4),07:16:03,7
[338] A LA PLATA (X RUTA 4),07:38:03,22
[338] A LA PLATA (X PASCO),07:41:03,3
[338] A LA PLATA (X PASCO),08:13:03,32
[338] A LA PLATA (X RUTA 4),08:22:03,9
[338] A LA PLATA (X RUTA 4),08:42:03,20
[338] A LA PLATA (X PASCO),08:45:03,3
[338] A LA PLATA (X PASCO),09:17:03,32
[338] A LA PLATA (X RUTA 4),09:26:03,9
[338] A LA PLATA (X RUTA 4),09:46:03,20
[338] A LA PLATA (X PASCO),09:49:03,3
[338] A LA PLATA (X PASCO),10:21:03,32
[338] A LA PLATA (X RUTA 4),10:30:03,9
[338] A LA PLATA (X RUTA 4),10:50:03,20
[338] A LA PLATA (X PASCO),10:53:03,3
[338] A LA PLATA (X PASCO),11:25:03,32
[338] A LA PLATA (X RUTA 4),11:34:03,9
[338] A LA PLATA (X RUTA 4),11:57:02,23
[338] A LA PLATA (X PASCO),12:09:03,12
[338] A LA PLATA (X PASCO),12:13:03,4
[338] A LA PLATA (X RUTA 4),12:22:03,9
[338] A LA PLATA (X RUTA 4),12:26:03,4
[338] A LA PLATA (X PASCO),12:49:03,23
[338] A LA PLATA (X RUTA 4),12:58:03,9
[338] A LA PLATA (X PASCO),13:13:03,15
[338] A LA PLATA (X RUTA 4),13:30:03,17
[338] A LA PLATA (X PASCO),13:45:03,15
[338] A LA PLATA (X RUTA 4),14:14:03,29
[338] A LA PLATA (X PASCO),14:17:03,3
[338] A LA PLATA (X RUTA 4),14:34:03,17
[338] A LA PLATA (X PASCO),14:49:03,15
[338] A LA PLATA (X PASCO),15:09:03,20
[338] A LA PLATA (X RUTA 4),15:18:03,9
[338] A LA PLATA (X RUTA 4),15:38:03,20
[338] A LA PLATA (X PASCO),15:53:03,15
[338] A LA PLATA (X PASCO),16:13:03,20
[338] A LA PLATA (X RUTA 4),16:22:03,9
[338] A LA PLATA (X RUTA 4),16:42:03,20
[338] A LA PLATA (X PASCO),16:57:03,15
[338] A LA PLATA (X PASCO),17:17:03,20
[338] A LA PLATA (X RUTA 4),17:26:03,9
[338] A LA PLATA (X RUTA 4),17:46:03,20
[338] A LA PLATA (X PASCO),17:49:03,3
[338] A LA PLATA (X RUTA 4),18:18:03,29
[338] A LA PLATA (X PASCO),18:33:03,15
[338] A LA PLATA (X RUTA 4),18:50:03,17
[338] A LA PLATA (X PASCO),18:53:03,3
[338] A LA PLATA (X RUTA 4),19:34:03,41
[338] A LA PLATA (X PASCO),19:36:02,2
[338] A LA PLATA (X RUTA 4),19:54:03,18
[338] A LA PLATA (X RUTA 4),20:05:02,11
[338] A LA PLATA (X PASCO),20:36:01,31
[338] A LA PLATA (X RUTA 4),20:38:02,2
[338] A LA PLATA (X PASCO),20:38:02,0
[338] A LA PLATA (X RUTA 4),20:59:02,21
[338] A LA PLATA (X RUTA 4),21:22:03,23
[338] A LA PLATA (X PASCO),21:43:02,21
[338] A LA PLATA (X RUTA 4),21:48:02,5
[338] A LA PLATA (X RUTA 4),22:04:02,16
[338] A LA PLATA (X PASCO),22:22:01,18
[338] A LA PLATA (X RUTA 4),22:28:02,6
[338] A LA PLATA (X RUTA 4),22:59:02,31
[338] A LA PLATA (X RUTA 4),23:06:02,7
