Nombre,Hora,Diferencia_Minutos
[338] A SAN JUSTO (X PASCO),00:31:52,32
[338] A SAN JUSTO (X RUTA 4),01:06:59,35
[338] A SAN JUSTO (X PASCO),01:36:59,30
[338] A SAN JUSTO (X PASCO),03:26:59,110
[338] A SAN JUSTO (X RUTA 4),04:21:59,55
[338] A SAN JUSTO (X PASCO),04:55:59,34
[338] LA PLATA - VARELA (X BELGRANO),04:59:57,4
[338] LA PLATA - VARELA (X BELGRANO),05:21:57,22
[338] A SAN JUSTO (X RUTA 4),05:36:59,15
[338] LA PLATA - VARELA (X BELGRANO),06:04:57,28
[338] A SAN JUSTO (X PASCO),06:12:55,8
[338] LA PLATA - VARELA (X BELGRANO),06:24:57,12
[338] A SAN JUSTO (X RUTA 4),06:46:55,22
[338] A SAN JUSTO (X PASCO),07:20:55,34
[338] A SAN JUSTO (X RUTA 4),07:39:55,19
[338] A SAN JUSTO (X PASCO),07:59:55,20
[338] A MORON (X RUTA 4),08:15:56,16
[338] A SAN JUSTO (X PASCO),08:31:55,16
[338] A SAN JUSTO (X RUTA 4),08:47:55,16
[338] LA PLATA - VARELA (X BELGRANO),08:54:57,7
[338] A SAN JUSTO (X PASCO),09:03:55,9
[338] A MORON (X RUTA 4),09:20:56,17
[338] LA PLATA - VARELA (X BELGRANO),09:29:57,9
[338] A SAN JUSTO (X PASCO),09:39:55,10
[338] LA PLATA - VARELA (X BELGRANO),09:49:57,10
[338] A SAN JUSTO (X RUTA 4),09:59:55,10
[338] A SAN JUSTO (X PASCO),10:17:55,18
[338] LA PLATA - VARELA (X BELGRANO),10:23:57,6
[338] A SAN JUSTO (X RUTA 4),10:31:55,8
[338] A SAN JUSTO (X PASCO),10:54:55,23
[338] A SAN JUSTO (X RUTA 4),11:07:55,13
[338] A SAN JUSTO (X PASCO),11:21:55,14
[338] A SAN JUSTO (X RUTA 4),11:43:55,22
[338] A SAN JUSTO (X PASCO),11:57:55,14
[338] A SAN JUSTO (X RUTA 4),12:07:58,10
[338] A SAN JUSTO (X PASCO),12:18:58,11
[338] A SAN JUSTO (X RUTA 4),12:35:55,17
[338] A SAN JUSTO (X PASCO),12:57:58,22
[338] A SAN JUSTO (X RUTA 4),13:10:58,13
[338] A SAN JUSTO (X PASCO),13:26:58,16
[338] A SAN JUSTO (X RUTA 4),13:43:55,17
[338] A SAN JUSTO (X PASCO),13:57:58,14
[338] A SAN JUSTO (X RUTA 4),14:10:58,13
[338] A SAN JUSTO (X PASCO),14:30:58,20
[338] A MORON (X RUTA 4),14:40:58,10
[338] A SAN JUSTO (X PASCO),14:49:55,9
[338] A SAN JUSTO (X RUTA 4),15:05:58,16
[338] A MORON (X RUTA 4),15:15:58,10
[338] A SAN JUSTO (X PASCO),15:25:58,10
[338] A SAN JUSTO (X RUTA 4),15:35:58,10
[338] A SAN JUSTO (X PASCO),15:55:58,20
[338] A SAN JUSTO (X RUTA 4),16:05:58,10
[338] A SAN JUSTO (X PASCO),16:15:58,10
[338] A MORON (X RUTA 4),16:33:58,18
[338] A MORON (X PASCO),16:40:58,7
[338] A SAN JUSTO (X RUTA 4),16:50:58,10
[338] A SAN JUSTO (X PASCO),17:05:58,15
[338] A SAN JUSTO (X RUTA 4),17:15:58,10
[338] A SAN JUSTO (X PASCO),17:35:58,20
[338] A SAN JUSTO (X RUTA 4),17:43:58,8
[338] A SAN JUSTO (X PASCO),17:53:58,10
[338] A SAN JUSTO (X RUTA 4),18:03:58,10
[338] A MORON (X PASCO),18:13:58,10
[338] A SAN JUSTO (X RUTA 4),18:25:58,12
[338] A SAN JUSTO (X PASCO),18:33:58,8
[338] A SAN JUSTO (X RUTA 4),18:43:58,10
[338] A SAN JUSTO (X PASCO),18:55:58,12
[338] A SAN JUSTO (X RUTA 4),19:05:58,10
[338] A SAN JUSTO (X PASCO),19:11:58,6
[338] A SAN JUSTO (X RUTA 4),19:40:58,29
[338] A SAN JUSTO (X PASCO),19:52:58,12
[338] A MORON (X RUTA 4),20:01:59,9
[338] A SAN JUSTO (X RUTA 4),20:22:59,21
[338] A SAN JUSTO (X PASCO),20:35:52,13
[338] A SAN JUSTO (X RUTA 4),20:38:59,3
[338] A SAN JUSTO (X PASCO),20:49:59,11
[338] A MORON (X RUTA 4),21:02:59,13
[338] A SAN JUSTO (X PASCO),21:36:52,34
[338] A SAN JUSTO (X RUTA 4),21:46:59,10
[338] A SAN JUSTO (X PASCO),22:06:59,20
[338] A SAN JUSTO (X RUTA 4),22:36:59,30
[338] A SAN JUSTO (X PASCO),22:46:59,10
[338] A SAN JUSTO (X RUTA 4),23:06:59,20
[338] A SAN JUSTO (X PASCO),23:26:59,20
[338] A SAN JUSTO (X RUTA 4),23:46:59,20
