Nombre,Hora,Diferencia_Minutos
[338] A SAN JUSTO (X PASCO),00:06:57,7
[338] A SAN JUSTO (X RUTA 4),00:40:57,34
[338] A SAN JUSTO (X PASCO),01:06:57,26
[338] A SAN JUSTO (X RUTA 4),01:40:57,34
[338] A SAN JUSTO (X PASCO),02:06:57,26
[338] A SAN JUSTO (X RUTA 4),02:40:57,34
[338] A SAN JUSTO (X PASCO),03:06:57,26
[338] A SAN JUSTO (X RUTA 4),03:50:57,44
[338] A SAN JUSTO (X RUTA 4),06:40:57,170
[338] A SAN JUSTO (X PASCO),07:06:57,26
[338] A SAN JUSTO (X RUTA 4),07:40:57,34
[338] A SAN JUSTO (X PASCO),08:06:57,26
[338] A SAN JUSTO (X RUTA 4),08:40:57,34
[338] A SAN JUSTO (X PASCO),09:06:57,26
[338] A SAN JUSTO (X RUTA 4),09:40:57,34
[338] A SAN JUSTO (X PASCO),10:06:57,26
[338] A SAN JUSTO (X RUTA 4),10:40:57,34
[338] A SAN JUSTO (X PASCO),11:06:57,26
[338] A SAN JUSTO (X RUTA 4),11:40:57,34
[338] A SAN JUSTO (X PASCO),12:06:57,26
[338] A SAN JUSTO (X RUTA 4),12:40:57,34
[338] A SAN JUSTO (X PASCO),13:06:57,26
[338] A SAN JUSTO (X RUTA 4),13:40:57,34
[338] A SAN JUSTO (X PASCO),14:06:57,26
[338] A SAN JUSTO (X RUTA 4),14:40:57,34
[338] A SAN JUSTO (X PASCO),15:06:57,26
[338] A SAN JUSTO (X RUTA 4),15:40:57,34
[338] A SAN JUSTO (X PASCO),16:06:57,26
[338] A SAN JUSTO (X RUTA 4),16:40:57,34
[338] A SAN JUSTO (X PASCO),17:06:57,26
[338] A SAN JUSTO (X RUTA 4),17:40:57,34
[338] A SAN JUSTO (X PASCO),18:06:57,26
[338] A SAN JUSTO (X RUTA 4),18:40:57,34
[338] A SAN JUSTO (X PASCO),19:06:57,26
[338] A SAN JUSTO (X RUTA 4),19:40:57,34
[338] A SAN JUSTO (X PASCO),20:06:57,26
[338] A SAN JUSTO (X RUTA 4),20:40:57,34
[338] A SAN JUSTO (X PASCO),21:06:57,26
[338] A SAN JUSTO (X RUTA 4),21:40:57,34
[338] A SAN JUSTO (X PASCO),22:06:57,26
[338] A SAN JUSTO (X RUTA 4),22:40:57,34
[338] A SAN JUSTO (X PASCO),23:06:57,26
[338] A SAN JUSTO (X RUTA 4),23:40:57,34
