Nombre,Hora,Diferencia_Minutos
[338] A SAN JUSTO (X PASCO),00:33:55,34
[338] A SAN JUSTO (X RUTA 4),01:09:57,36
[338] A SAN JUSTO (X PASCO),01:49:57,40
[338] A SAN JUSTO (X PASCO),03:30:57,101
[338] A SAN JUSTO (X RUTA 4),04:29:57,59
[338] A SAN JUSTO (X PASCO),04:59:57,30
[338] A SAN JUSTO (X RUTA 4),05:59:55,60
[338] A SAN JUSTO (X PASCO),06:29:55,30
[338] A SAN JUSTO (X RUTA 4),06:59:55,30
[338] A SAN JUSTO (X PASCO),07:20:55,21
[338] A SAN JUSTO (X RUTA 4),07:29:55,9
[338] A SAN JUSTO (X PASCO),07:49:55,20
[338] A SAN JUSTO (X RUTA 4),08:05:55,16
[338] A SAN JUSTO (X PASCO),08:31:55,26
[338] A SAN JUSTO (X RUTA 4),08:47:55,16
[338] A SAN JUSTO (X PASCO),09:03:55,16
[338] A SAN JUSTO (X RUTA 4),09:11:55,8
[338] A SAN JUSTO (X PASCO),09:42:55,31
[338] A SAN JUSTO (X RUTA 4),09:57:55,15
[338] A SAN JUSTO (X PASCO),10:05:55,8
[338] A SAN JUSTO (X RUTA 4),10:32:55,27
[338] A SAN JUSTO (X PASCO),10:48:55,16
[338] A SAN JUSTO (X RUTA 4),11:04:55,16
[338] A SAN JUSTO (X PASCO),11:10:55,6
[338] A SAN JUSTO (X RUTA 4),11:36:55,26
[338] A SAN JUSTO (X PASCO),11:52:55,16
[338] A SAN JUSTO (X RUTA 4),12:08:55,16
[338] A SAN JUSTO (X PASCO),12:14:55,6
[338] A SAN JUSTO (X RUTA 4),12:40:55,26
[338] A SAN JUSTO (X PASCO),12:56:55,16
[338] A SAN JUSTO (X RUTA 4),13:12:55,16
[338] A SAN JUSTO (X PASCO),13:18:55,6
[338] A SAN JUSTO (X RUTA 4),13:44:55,26
[338] A SAN JUSTO (X PASCO),14:00:55,16
[338] A SAN JUSTO (X RUTA 4),14:16:55,16
[338] A SAN JUSTO (X PASCO),14:22:55,6
[338] A SAN JUSTO (X RUTA 4),14:35:55,13
[338] A SAN JUSTO (X PASCO),14:45:55,10
[338] A SAN JUSTO (X RUTA 4),15:05:55,20
[338] A MORON (X RUTA 4),15:10:56,5
[338] A SAN JUSTO (X PASCO),15:11:55,1
[338] A SAN JUSTO (X RUTA 4),15:37:55,26
[338] A SAN JUSTO (X PASCO),15:42:55,5
[338] A SAN JUSTO (X RUTA 4),15:51:55,9
[338] A SAN JUSTO (X RUTA 4),16:09:55,18
[338] A SAN JUSTO (X PASCO),16:09:55,0
[338] A MORON (X PASCO),16:32:55,23
[338] A SAN JUSTO (X RUTA 4),16:45:55,13
[338] A SAN JUSTO (X PASCO),16:49:55,4
[338] A SAN JUSTO (X RUTA 4),17:03:55,14
[338] A SAN JUSTO (X PASCO),17:18:55,15
[338] A SAN JUSTO (X RUTA 4),17:30:55,12
[338] A SAN JUSTO (X PASCO),17:50:55,20
[338] A SAN JUSTO (X RUTA 4),18:00:55,10
[338] A MORON (X PASCO),18:10:55,10
[338] A SAN JUSTO (X RUTA 4),18:11:55,1
[338] A SAN JUSTO (X PASCO),18:22:55,11
[338] A SAN JUSTO (X RUTA 4),18:42:55,20
[338] A SAN JUSTO (X PASCO),18:44:55,2
[338] A SAN JUSTO (X RUTA 4),19:04:55,20
[338] A SAN JUSTO (X PASCO),19:07:55,3
[338] A SAN JUSTO (X PASCO),19:31:55,24
[338] A SAN JUSTO (X RUTA 4),19:53:55,22
[338] A SAN JUSTO (X PASCO),19:53:55,0
[338] A SAN JUSTO (X RUTA 4),20:09:57,16
[338] A SAN JUSTO (X PASCO),20:14:55,5
[338] A SAN JUSTO (X RUTA 4),20:30:57,16
[338] A SAN JUSTO (X PASCO),20:38:57,8
[338] A SAN JUSTO (X RUTA 4),20:59:55,21
[338] A SAN JUSTO (X PASCO),21:10:57,11
[338] A SAN JUSTO (X RUTA 4),21:30:57,20
[338] A SAN JUSTO (X PASCO),21:50:57,20
[338] A SAN JUSTO (X RUTA 4),22:10:57,20
[338] A SAN JUSTO (X PASCO),22:40:57,30
[338] A SAN JUSTO (X PASCO),22:54:57,14
[338] A SAN JUSTO (X RUTA 4),23:09:57,15
[338] A SAN JUSTO (X PASCO),23:35:57,26
[338] A SAN JUSTO (X RUTA 4),23:49:57,14
