Nombre,Hora,Diferencia_Minutos
[338] A SAN JUSTO (X RUTA 4),00:36:59,37
[338] A SAN JUSTO (X PASCO),01:05:59,29
[338] A SAN JUSTO (X PASCO),02:56:59,111
[338] A SAN JUSTO (X RUTA 4),03:46:59,50
[338] LA PLATA - VARELA (X BELGRANO),04:07:59,21
[338] A SAN JUSTO (X PASCO),04:20:59,13
[338] LA PLATA - VARELA (X BELGRANO),04:36:59,16
[338] A VARELA (X CENTENARIO),04:51:59,15
[338] A SAN JUSTO (X RUTA 4),05:01:59,10
[338] LA PLATA - VARELA (X BELGRANO),05:12:59,11
[338] A VARELA (X CENTENARIO),05:21:59,9
[338] A SAN JUSTO (X PASCO),05:31:59,10
[338] LA PLATA - VARELA (X BELGRANO),05:32:59,1
[338] A SAN JUSTO (X RUTA 4),05:56:59,24
[338] A VARELA (X CENTENARIO),06:16:59,20
[338] A SAN JUSTO (X PASCO),06:28:59,12
[338] A SAN JUSTO (X RUTA 4),06:47:59,19
[338] A SAN JUSTO (X PASCO),07:07:59,20
[338] A SAN JUSTO (X RUTA 4),07:23:59,16
[338] A VARELA (X CENTENARIO),07:30:59,7
[338] A SAN JUSTO (X PASCO),07:39:59,9
[338] A SAN JUSTO (X RUTA 4),07:55:59,16
[338] LA PLATA - VARELA (X BELGRANO),08:02:59,7
[338] A SAN JUSTO (X PASCO),08:11:59,9
[338] A VARELA (X CENTENARIO),08:18:59,7
[338] A SAN JUSTO (X RUTA 4),08:28:59,10
[338] LA PLATA - VARELA (X BELGRANO),08:36:59,8
[338] A SAN JUSTO (X PASCO),08:47:59,11
[338] LA PLATA - VARELA (X BELGRANO),08:57:59,10
[338] A SAN JUSTO (X RUTA 4),09:07:59,10
[338] A VARELA (X CENTENARIO),09:14:59,7
[338] A SAN JUSTO (X PASCO),09:23:59,9
[338] LA PLATA - VARELA (X BELGRANO),09:31:59,8
[338] A SAN JUSTO (X RUTA 4),09:40:59,9
[338] A VARELA (X CENTENARIO),09:51:59,11
[338] A SAN JUSTO (X PASCO),10:02:59,11
[338] A SAN JUSTO (X RUTA 4),10:15:59,13
[338] A SAN JUSTO (X PASCO),10:29:59,14
[338] A SAN JUSTO (X RUTA 4),10:44:59,15
[338] A VARELA (X CENTENARIO),10:51:59,7
[338] A SAN JUSTO (X PASCO),11:05:59,14
[338] A SAN JUSTO (X RUTA 4),11:17:59,12
[338] A SAN JUSTO (X PASCO),11:29:59,12
[338] A SAN JUSTO (X RUTA 4),11:44:59,15
[338] A VARELA (X CENTENARIO),11:55:59,11
[338] A SAN JUSTO (X PASCO),12:04:59,9
[338] A SAN JUSTO (X RUTA 4),12:17:59,13
[338] A VARELA (X CENTENARIO),12:26:59,9
[338] A SAN JUSTO (X PASCO),12:37:59,11
[338] A SAN JUSTO (X RUTA 4),12:52:59,15
[338] A SAN JUSTO (X PASCO),13:07:59,15
[338] A SAN JUSTO (X RUTA 4),13:20:59,13
[338] A VARELA (X CENTENARIO),13:31:59,11
[338] A SAN JUSTO (X PASCO),13:40:59,9
[338] A SAN JUSTO (X RUTA 4),13:50:59,10
[338] A SAN JUSTO (X PASCO),14:00:59,10
[338] A VARELA (X CENTENARIO),14:06:59,6
[338] A SAN JUSTO (X RUTA 4),14:16:59,10
[338] A MORON (X RUTA 4),14:20:59,4
[338] A SAN JUSTO (X PASCO),14:29:59,9
[338] A SAN JUSTO (X RUTA 4),14:45:59,16
[338] A SAN JUSTO (X PASCO),14:55:59,10
[338] A VARELA (X CENTENARIO),15:04:59,9
[338] A SAN JUSTO (X RUTA 4),15:09:59,5
[338] A SAN JUSTO (X PASCO),15:17:59,8
[338] A SAN JUSTO (X RUTA 4),15:27:59,10
[338] A MORON (X PASCO),15:40:59,13
[338] A VARELA (X CENTENARIO),15:46:59,6
[338] A SAN JUSTO (X RUTA 4),15:57:59,11
[338] A SAN JUSTO (X PASCO),16:10:59,13
[338] A VARELA (X CENTENARIO),16:13:59,3
[338] A SAN JUSTO (X RUTA 4),16:21:59,8
[338] A SAN JUSTO (X PASCO),16:36:59,15
[338] A VARELA (X CENTENARIO),16:41:59,5
[338] A SAN JUSTO (X RUTA 4),16:48:59,7
[338] A SAN JUSTO (X PASCO),16:58:59,10
[338] A SAN JUSTO (X RUTA 4),17:08:59,10
[338] A MORON (X PASCO),17:18:59,10
[338] A VARELA (X CENTENARIO),17:26:59,8
[338] A SAN JUSTO (X RUTA 4),17:32:59,6
[338] A SAN JUSTO (X PASCO),17:40:59,8
[338] A SAN JUSTO (X RUTA 4),17:50:59,10
[338] A SAN JUSTO (X PASCO),18:02:59,12
[338] A SAN JUSTO (X RUTA 4),18:12:59,10
[338] A SAN JUSTO (X PASCO),18:22:59,10
[338] A VARELA (X CENTENARIO),18:31:59,9
[338] A SAN JUSTO (X RUTA 4),18:47:59,16
[338] A SAN JUSTO (X PASCO),18:59:59,12
[338] A SAN JUSTO (X RUTA 4),19:09:59,10
[338] A VARELA (X CENTENARIO),19:16:59,7
[338] A SAN JUSTO (X PASCO),19:25:59,9
[338] A SAN JUSTO (X RUTA 4),19:39:59,14
[338] A SAN JUSTO (X PASCO),19:53:59,14
[338] A VARELA (X CENTENARIO),19:58:59,5
[338] A SAN JUSTO (X RUTA 4),20:05:59,7
[338] A SAN JUSTO (X PASCO),20:18:59,13
[338] A VARELA (X CENTENARIO),20:26:59,8
[338] A SAN JUSTO (X RUTA 4),20:36:59,10
[338] A VARELA (X CENTENARIO),20:46:59,10
[338] A SAN JUSTO (X PASCO),21:06:59,20
[338] A SAN JUSTO (X RUTA 4),21:16:59,10
[338] A SAN JUSTO (X PASCO),21:35:59,19
[338] A SAN JUSTO (X RUTA 4),21:56:59,21
[338] A SAN JUSTO (X PASCO),22:16:59,20
[338] A SAN JUSTO (X RUTA 4),22:36:59,20
[338] A SAN JUSTO (X PASCO),22:55:59,19
[338] A SAN JUSTO (X RUTA 4),23:16:59,21
[338] A SAN JUSTO (X PASCO),23:56:59,40
