Nombre,Hora,Diferencia_Minutos
[338] A SAN JUSTO (X RUTA 4),00:36:59,37
[338] A SAN JUSTO (X PASCO),01:14:59,38
[338] A SAN JUSTO (X PASCO),02:55:59,101
[338] A SAN JUSTO (X RUTA 4),03:54:59,59
[338] A SAN JUSTO (X PASCO),04:24:59,30
[338] A VARELA (X CENTENARIO),04:52:59,28
[338] A SAN JUSTO (X RUTA 4),05:07:59,15
[338] A VARELA (X CENTENARIO),05:22:59,15
[338] A SAN JUSTO (X PASCO),05:37:59,15
[338] A SAN JUSTO (X RUTA 4),06:07:59,30
[338] A VARELA (X CENTENARIO),06:17:59,10
[338] A SAN JUSTO (X PASCO),06:28:59,11
[338] A SAN JUSTO (X RUTA 4),06:47:59,19
[338] A SAN JUSTO (X PASCO),07:07:59,20
[338] A SAN JUSTO (X RUTA 4),07:23:59,16
[338] A VARELA (X CENTENARIO),07:31:59,8
[338] A SAN JUSTO (X PASCO),07:39:59,8
[338] A SAN JUSTO (X RUTA 4),07:55:59,16
[338] A SAN JUSTO (X PASCO),08:11:59,16
[338] A VARELA (X CENTENARIO),08:19:59,8
[338] A SAN JUSTO (X RUTA 4),08:29:59,10
[338] A SAN JUSTO (X PASCO),08:50:59,21
[338] A SAN JUSTO (X RUTA 4),09:05:59,15
[338] A VARELA (X CENTENARIO),09:15:59,10
[338] A SAN JUSTO (X PASCO),09:23:59,8
[338] A SAN JUSTO (X RUTA 4),09:40:59,17
[338] A VARELA (X CENTENARIO),09:48:59,8
[338] A SAN JUSTO (X PASCO),09:56:59,8
[338] A SAN JUSTO (X RUTA 4),10:12:59,16
[338] A SAN JUSTO (X PASCO),10:28:59,16
[338] A SAN JUSTO (X RUTA 4),10:44:59,16
[338] A VARELA (X CENTENARIO),10:52:59,8
[338] A SAN JUSTO (X PASCO),11:00:59,8
[338] A SAN JUSTO (X RUTA 4),11:16:59,16
[338] A SAN JUSTO (X PASCO),11:32:59,16
[338] A SAN JUSTO (X RUTA 4),11:48:59,16
[338] A VARELA (X CENTENARIO),11:56:59,8
[338] A SAN JUSTO (X PASCO),12:04:59,8
[338] A SAN JUSTO (X RUTA 4),12:20:59,16
[338] A VARELA (X CENTENARIO),12:27:59,7
[338] A SAN JUSTO (X PASCO),12:36:59,9
[338] A SAN JUSTO (X RUTA 4),12:52:59,16
[338] A SAN JUSTO (X PASCO),13:08:59,16
[338] A SAN JUSTO (X RUTA 4),13:24:59,16
[338] A VARELA (X CENTENARIO),13:32:59,8
[338] A SAN JUSTO (X PASCO),13:40:59,8
[338] A SAN JUSTO (X RUTA 4),13:53:59,13
[338] A SAN JUSTO (X PASCO),14:03:59,10
[338] A VARELA (X CENTENARIO),14:08:59,5
[338] A SAN JUSTO (X RUTA 4),14:13:59,5
[338] A MORON (X RUTA 4),14:28:59,15
[338] A SAN JUSTO (X PASCO),14:29:59,1
[338] A SAN JUSTO (X RUTA 4),14:45:59,16
[338] A SAN JUSTO (X PASCO),15:00:59,15
[338] A VARELA (X CENTENARIO),15:05:59,5
[338] A SAN JUSTO (X RUTA 4),15:09:59,4
[338] A SAN JUSTO (X PASCO),15:17:59,8
[338] A SAN JUSTO (X RUTA 4),15:27:59,10
[338] A MORON (X PASCO),15:40:59,13
[338] A VARELA (X CENTENARIO),15:47:59,7
[338] A SAN JUSTO (X RUTA 4),15:53:59,6
[338] A SAN JUSTO (X PASCO),16:07:59,14
[338] A SAN JUSTO (X RUTA 4),16:21:59,14
[338] A SAN JUSTO (X PASCO),16:36:59,15
[338] A VARELA (X CENTENARIO),16:42:59,6
[338] A SAN JUSTO (X RUTA 4),16:48:59,6
[338] A SAN JUSTO (X PASCO),16:58:59,10
[338] A SAN JUSTO (X RUTA 4),17:08:59,10
[338] A MORON (X PASCO),17:18:59,10
[338] A VARELA (X CENTENARIO),17:23:59,5
[338] A SAN JUSTO (X RUTA 4),17:29:59,6
[338] A SAN JUSTO (X PASCO),17:40:59,11
[338] A SAN JUSTO (X RUTA 4),17:50:59,10
[338] A SAN JUSTO (X PASCO),18:02:59,12
[338] A SAN JUSTO (X RUTA 4),18:12:59,10
[338] A SAN JUSTO (X PASCO),18:25:59,13
[338] A VARELA (X CENTENARIO),18:31:59,6
[338] A SAN JUSTO (X PASCO),18:49:59,18
[338] A SAN JUSTO (X RUTA 4),19:01:59,12
[338] A SAN JUSTO (X PASCO),19:11:59,10
[338] A VARELA (X CENTENARIO),19:16:59,5
[338] A SAN JUSTO (X RUTA 4),19:21:59,5
[338] A SAN JUSTO (X PASCO),19:32:59,11
[338] A SAN JUSTO (X RUTA 4),19:53:59,21
[338] A VARELA (X CENTENARIO),19:59:59,6
[338] A SAN JUSTO (X PASCO),20:03:59,4
[338] A SAN JUSTO (X RUTA 4),20:17:59,14
[338] A SAN JUSTO (X PASCO),20:35:59,18
[338] A VARELA (X CENTENARIO),20:47:59,12
[338] A SAN JUSTO (X RUTA 4),20:55:59,8
[338] A SAN JUSTO (X PASCO),21:15:59,20
[338] A SAN JUSTO (X RUTA 4),21:35:59,20
[338] A SAN JUSTO (X PASCO),22:05:59,30
[338] A SAN JUSTO (X PASCO),22:19:59,14
[338] A SAN JUSTO (X RUTA 4),22:36:59,17
[338] A SAN JUSTO (X PASCO),23:00:59,24
[338] A SAN JUSTO (X RUTA 4),23:16:59,16
[338] A SAN JUSTO (X PASCO),23:55:59,39
