Nombre,Hora,Diferencia_Minutos
[G] X BELGRANO X19 A CEMENT,00:32:10
[D] X CENTENARIO AL CEMENT.,01:01:10
[D] X CENTENARIO AL CEMENT.,02:01:10
[D] X CENTENARIO AL CEMENT.,02:38:10
[D] X CENTENARIO AL CEMENT.,04:41:10
[G] X BELGRANO X19 A CEMENT,05:32:10
[D] A.SEGUI-PZA MORENO X CENT.,06:11:10
[D] X CENTENARIO AL CEMENT.,06:31:10
[D] A.SEGUI-PZA MORENO X CENT.,06:44:10
[G] X BELGRANO X19 A CEMENT,06:52:10
[D] X CENTENARIO AL CEMENT.,07:06:10
[D] A.SEGUI-PZA MORENO X CENT.,07:21:10
[G] X BELGRANO X19 A CEMENT,07:23:10
[D] X CENTENARIO AL CEMENT.,07:39:10
[G] X BELGRANO X19 A CEMENT,07:59:10
[D] A.SEGUI-PZA MORENO X CENT.,08:00:10
[D] X CENTENARIO AL CEMENT.,08:14:10
[G] X BELGRANO X19 A CEMENT,08:31:10
[D] X CENTENARIO AL CEMENT.,08:44:10
[D] A.SEGUI-PZA MORENO X CENT.,08:52:10
[G] X BELGRANO X19 A CEMENT,09:01:10
[D] X CENTENARIO AL CEMENT.,09:14:10
[D] A.SEGUI-PZA MORENO X CENT.,09:22:10
[G] X BELGRANO X19 A CEMENT,09:31:10
[D] X CENTENARIO AL CEMENT.,09:44:10
[D] A.SEGUI-PZA MORENO X CENT.,09:52:10
[G] X BELGRANO X19 A CEMENT,10:01:10
[D] X CENTENARIO AL CEMENT.,10:14:10
[G] X BELGRANO X19 A CEMENT,10:31:10
[D] X CENTENARIO AL CEMENT.,10:44:10
[D] A.SEGUI-PZA MORENO X CENT.,10:52:10
[G] X BELGRANO X19 A CEMENT,11:01:10
[D] X CENTENARIO AL CEMENT.,11:14:10
[D] A.SEGUI-PZA MORENO X CENT.,11:22:10
[G] X BELGRANO X19 A CEMENT,11:31:10
[D] X CENTENARIO AL CEMENT.,11:44:10
[D] A.SEGUI-PZA MORENO X CENT.,11:54:10
[G] X BELGRANO X19 A CEMENT,12:01:10
[D] X CENTENARIO AL CEMENT.,12:14:10
[G] X BELGRANO X19 A CEMENT,12:31:10
[D] X CENTENARIO AL CEMENT.,12:44:10
[D] A.SEGUI-PZA MORENO X CENT.,12:52:10
[G] X BELGRANO X19 A CEMENT,13:01:10
[D] X CENTENARIO AL CEMENT.,13:14:10
[D] A.SEGUI-PZA MORENO X CENT.,13:22:10
[G] X BELGRANO X19 A CEMENT,13:31:10
[D] X CENTENARIO AL CEMENT.,13:44:10
[G] X BELGRANO X19 A CEMENT,14:01:10
[D] X CENTENARIO AL CEMENT.,14:14:10
[D] A.SEGUI-PZA MORENO X CENT.,14:20:10
[G] X BELGRANO X19 A CEMENT,14:31:10
[D] X CENTENARIO AL CEMENT.,14:44:10
[D] A.SEGUI-PZA MORENO X CENT.,14:52:10
[G] X BELGRANO X19 A CEMENT,15:01:10
[D] X CENTENARIO AL CEMENT.,15:14:10
[G] X BELGRANO X19 A CEMENT,15:31:10
[D] X CENTENARIO AL CEMENT.,15:44:10
[G] X BELGRANO X19 A CEMENT,16:01:10
[D] X CENTENARIO AL CEMENT.,16:14:10
[D] A.SEGUI-PZA MORENO X CENT.,16:22:10
[G] X BELGRANO X19 A CEMENT,16:31:10
[D] X CENTENARIO AL CEMENT.,16:44:10
[D] A.SEGUI-PZA MORENO X CENT.,16:52:10
[G] X BELGRANO X19 A CEMENT,17:01:10
[D] X CENTENARIO AL CEMENT.,17:14:10
[G] X BELGRANO X19 A CEMENT,17:31:10
[D] X CENTENARIO AL CEMENT.,17:44:10
[G] X BELGRANO X19 A CEMENT,18:01:10
[D] X CENTENARIO AL CEMENT.,18:14:10
[D] A.SEGUI-PZA MORENO X CENT.,18:22:10
[G] X BELGRANO X19 A CEMENT,18:31:10
[D] X CENTENARIO AL CEMENT.,18:44:10
[D] A.SEGUI-PZA MORENO X CENT.,18:52:10
[G] X BELGRANO X19 A CEMENT,19:01:10
[D] X CENTENARIO AL CEMENT.,19:14:10
[G] X BELGRANO X19 A CEMENT,19:31:10
[D] X CENTENARIO AL CEMENT.,19:44:10
[G] X BELGRANO X19 A CEMENT,19:58:10
[D] X CENTENARIO AL CEMENT.,20:10:10
[D] A.SEGUI-PZA MORENO X CENT.,20:22:10
[G] X BELGRANO X19 A CEMENT,20:24:10
[D] X CENTENARIO AL CEMENT.,20:36:10
[G] X BELGRANO X19 A CEMENT,20:52:10
[D] A.SEGUI-PZA MORENO X CENT.,20:52:10
[D] X CENTENARIO AL CEMENT.,21:06:10
[G] X BELGRANO X19 A CEMENT,21:22:10
[D] X CENTENARIO AL CEMENT.,21:36:10
[G] X BELGRANO X19 A CEMENT,21:52:10
[D] X CENTENARIO AL CEMENT.,22:06:10
[G] X BELGRANO X19 A CEMENT,22:22:10
[D] X CENTENARIO AL CEMENT.,22:36:10
[G] X BELGRANO X19 A CEMENT,22:52:10
[D] X CENTENARIO AL CEMENT.,23:11:10
[G] X BELGRANO X19 A CEMENT,23:32:10
[D] X CENTENARIO AL CEMENT.,23:51:10
