Nombre,Hora,Diferencia_Minutos
[D] X CENTENARIO A SEGUI,00:09:19
[D] X CENTENARIO A SEGUI,00:59:19
[D] X CENTENARIO A SEGUI,01:48:29
[D] X CENTENARIO A SEGUI,04:11:19
[G] X 19 X BELGRANO A.SEGUI,04:49:19
[I] X CENTENARIO LOS PORTEÑOS,05:13:29
[B11] CEMENT. X BELG. A C BELL,05:18:29
[HX28] CLUB.EST. A ARCO.,05:28:29
[F] X19 X CENTENARIO A GORINA,05:38:29
[D] X CENTENARIO A SEGUI,05:39:19
[BC] CEMENT. X BELG. A C BELL,05:48:29
[G] X 19 X BELGRANO A.SEGUI,05:59:19
[I] X CENTENARIO LOS PORTEÑOS,06:03:29
[A1] CEMENT. L.P. A 32 Y 120,06:08:29
[BG]CEMENT X BELG. A GUTIERREZ,06:16:29
[C] CEMENT. POR BELG. A GORINA,06:18:29
[D] X CENTENARIO A SEGUI,06:19:19
[HX28] CLUB.EST. A ARCO.,06:28:29
[G] X 19 X BELGRANO A.SEGUI,06:34:19
[I] HASTA COUNTRY LOMAS IDA,06:42:09
[5]- A BARRIO SAVOIA,06:42:33
[B11] CEMENT. X BELG. A C BELL,06:48:29
[F] X19 X CENTENARIO A GORINA,06:48:29
[D] X CENTENARIO A SEGUI,06:49:19
[BG]CEMENT X BELG. A GUTIERREZ,06:50:29
[418] A BERAZATEGUI,06:52:54
[I] X CENTENARIO LOS PORTEÑOS,06:53:29
[A1] CEMENT. L.P. A 32 Y 120,06:58:29
[G] X 19 X BELGRANO A.SEGUI,07:04:19
[D] X CENTENARIO A SEGUI,07:14:19
[C] CEMENT. POR BELG. A GORINA,07:18:29
[HX28] CLUB.EST. A ARCO.,07:28:29
[TOP] A V. ELISA X CENTENARIO,07:28:53
[G] X 19 X BELGRANO A.SEGUI,07:34:19
[I] X CENTENARIO LOS PORTEÑOS,07:43:29
[A1] CEMENT. L.P. A 32 Y 120,07:48:29
[BC] CEMENT. X BELG. A C BELL,07:48:29
[F] X19 X CENTENARIO A GORINA,07:48:29
[D] X CENTENARIO A SEGUI,07:49:19
[G] X 19 X BELGRANO A.SEGUI,08:04:19
[BG]CEMENT X BELG. A GUTIERREZ,08:10:29
[TOP] A V. ELISA X CENTENARIO,08:13:53
[C] CEMENT. POR BELG. A GORINA,08:18:29
[D] X CENTENARIO A SEGUI,08:19:19
[HX28] CLUB.EST. A ARCO.,08:28:29
[5]- A BARRIO SAVOIA,08:32:33
[I] X CENTENARIO LOS PORTEÑOS,08:33:29
[G] X 19 X BELGRANO A.SEGUI,08:34:19
[A1] CEMENT. L.P. A 32 Y 120,08:38:29
[418] A BERAZATEGUI,08:42:54
[B11] CEMENT. X BELG. A C BELL,08:48:29
[F] X19 X CENTENARIO A GORINA,08:48:29
[D] X CENTENARIO A SEGUI,08:49:19
[TOP] A V. ELISA X CENTENARIO,09:03:53
[G] X 19 X BELGRANO A.SEGUI,09:04:19
[C] CEMENT. POR BELG. A GORINA,09:18:29
[D] X CENTENARIO A SEGUI,09:19:19
[I] X CENTENARIO LOS PORTEÑOS,09:23:29
[A1] CEMENT. L.P. A 32 Y 120,09:28:29
[HX28] CLUB.EST. A ARCO.,09:28:29
[BG]CEMENT X BELG. A GUTIERREZ,09:30:29
[I] X CENTENARIO LOS PORTEÑOS,09:43:29
[G] X 19 X BELGRANO A.SEGUI,09:45:19
[BC] CEMENT. X BELG. A C BELL,09:48:29
[TOP] A V. ELISA X CENTENARIO,09:48:53
[D] X CENTENARIO A SEGUI,09:49:19
[G] X 19 X BELGRANO A.SEGUI,10:04:19
[A1] CEMENT. L.P. A 32 Y 120,10:18:29
[C] CEMENT. POR BELG. A GORINA,10:18:29
[F] X19 X CENTENARIO A GORINA,10:18:29
[D] X CENTENARIO A SEGUI,10:19:19
[HX28] CLUB.EST. A ARCO.,10:28:29
[G] X 19 X BELGRANO A.SEGUI,10:34:19
[418] A BERAZATEGUI,10:37:54
[TOP] A V. ELISA X CENTENARIO,10:38:53
[5]- A BARRIO SAVOIA,10:42:33
[F] X19 X CENTENARIO A GORINA,10:48:29
[D] X CENTENARIO A SEGUI,10:49:19
[B11] CEMENT. X BELG. A C BELL,10:51:29
[BG]CEMENT X BELG. A GUTIERREZ,10:53:29
[I] X CENTENARIO LOS PORTEÑOS,11:03:29
[G] X 19 X BELGRANO A.SEGUI,11:04:19
[A1] CEMENT. L.P. A 32 Y 120,11:08:29
[D] X CENTENARIO A SEGUI,11:19:19
[C] CEMENT. POR BELG. A GORINA,11:20:29
[TOP] A V. ELISA X CENTENARIO,11:23:53
[HX28] CLUB.EST. A ARCO.,11:28:29
[G] X 19 X BELGRANO A.SEGUI,11:34:19
[BC] CEMENT. X BELG. A C BELL,11:48:29
[D] X CENTENARIO A SEGUI,11:49:19
[F] X19 X CENTENARIO A GORINA,11:50:29
[HX28] CLUB.EST. A ARCO.,11:59:29
[I] HASTA COUNTRY LOMAS IDA,12:04:09
[G] X 19 X BELGRANO A.SEGUI,12:04:19
[A1] CEMENT. L.P. A 32 Y 120,12:08:29
[BG]CEMENT X BELG. A GUTIERREZ,12:12:29
[TOP] A V. ELISA X CENTENARIO,12:13:53
[D] X CENTENARIO A SEGUI,12:19:19
[418] A BERAZATEGUI,12:27:54
[G] X 19 X BELGRANO A.SEGUI,12:34:19
[B11] CEMENT. X BELG. A C BELL,12:38:29
[F] X19 X CENTENARIO A GORINA,12:38:29
[I] X CENTENARIO LOS PORTEÑOS,12:43:29
[A1] CEMENT. L.P. A 32 Y 120,12:48:29
[C] CEMENT. POR BELG. A GORINA,12:48:29
[D] X CENTENARIO A SEGUI,12:49:19
[5]- A BARRIO SAVOIA,12:52:33
[TOP] A V. ELISA X CENTENARIO,12:58:53
[G] X 19 X BELGRANO A.SEGUI,13:04:19
[D] X CENTENARIO A SEGUI,13:19:19
[HX28] CLUB.EST. A ARCO.,13:28:29
[BG]CEMENT X BELG. A GUTIERREZ,13:30:29
[I] X CENTENARIO LOS PORTEÑOS,13:33:29
[G] X 19 X BELGRANO A.SEGUI,13:34:19
[A1] CEMENT. L.P. A 32 Y 120,13:38:29
[BC] CEMENT. X BELG. A C BELL,13:48:29
[D] X CENTENARIO A SEGUI,13:51:19
[TOP] A V. ELISA X CENTENARIO,13:52:54
[D] X CENTENARIO A SEGUI,14:15:19
[418] A BERAZATEGUI,14:17:54
[C] CEMENT. POR BELG. A GORINA,14:18:29
[I] X CENTENARIO LOS PORTEÑOS,14:23:29
[A1] CEMENT. L.P. A 32 Y 120,14:28:29
[HX28] CLUB.EST. A ARCO.,14:28:29
[G] X 19 X BELGRANO A.SEGUI,14:34:19
[TOP] A V. ELISA X CENTENARIO,14:37:54
[F] X19 X CENTENARIO A GORINA,14:38:29
[5]- A BARRIO SAVOIA,14:42:33
[B11] CEMENT. X BELG. A C BELL,14:48:29
[D] X CENTENARIO A SEGUI,14:49:19
[BG]CEMENT X BELG. A GUTIERREZ,14:50:29
[I] HASTA COUNTRY LOMAS IDA,14:52:09
[G] X 19 X BELGRANO A.SEGUI,15:04:19
[A1] CEMENT. L.P. A 32 Y 120,15:18:29
[C] CEMENT. POR BELG. A GORINA,15:18:29
[TOP] A V. ELISA X CENTENARIO,15:18:53
[D] X CENTENARIO A SEGUI,15:19:19
[HX28] CLUB.EST. A ARCO.,15:28:29
[G] X 19 X BELGRANO A.SEGUI,15:34:19
[BC] CEMENT. X BELG. A C BELL,15:48:29
[F] X19 X CENTENARIO A GORINA,15:48:29
[I] X CENTENARIO LOS PORTEÑOS,16:03:29
[TOP] A V. ELISA X CENTENARIO,16:03:53
[G] X 19 X BELGRANO A.SEGUI,16:04:19
[418] A BERAZATEGUI,16:07:54
[A1] CEMENT. L.P. A 32 Y 120,16:08:29
[BG]CEMENT X BELG. A GUTIERREZ,16:10:29
[C] CEMENT. POR BELG. A GORINA,16:18:29
[D] X CENTENARIO A SEGUI,16:19:19
[HX28] CLUB.EST. A ARCO.,16:28:29
