Nombre,Hora,Diferencia_Minutos
[D] X CENTENARIO A SEGUI,05:09:19
[B11] CEMENT. X BELG. A C BELL,05:23:29
[F] X19 X CENTENARIO A GORINA,05:48:29
[A1] CEMENT. L.P. A 32 Y 120,05:53:29
[BC] CEMENT. X BELG. A C BELL,06:13:29
[D] X CENTENARIO A SEGUI,06:19:19
[HX28] CLUB.EST. A ARCO.,06:33:29
[C] CEMENT. POR BELG. A GORINA,06:38:29
[G] X 19 X BELGRANO A.SEGUI,06:44:20
[I] X CENTENARIO LOS PORTEÑOS,06:48:29
[BG]CEMENT X BELG. A GUTIERREZ,07:00:29
[B11] CEMENT. X BELG. A C BELL,07:13:29
[D] X CENTENARIO A SEGUI,07:19:19
[TOP] A V. ELISA X CENTENARIO,07:38:53
[G] X 19 X BELGRANO A.SEGUI,07:44:20
[418] A BERAZATEGUI,07:47:54
[F] X19 X CENTENARIO A GORINA,07:48:29
[A1] CEMENT. L.P. A 32 Y 120,07:58:29
[BC] CEMENT. X BELG. A C BELL,08:13:29
[D] X CENTENARIO A SEGUI,08:19:19
[HX28] CLUB.EST. A ARCO.,08:33:29
[C] CEMENT. POR BELG. A GORINA,08:38:29
[G] X 19 X BELGRANO A.SEGUI,08:44:20
[I] X CENTENARIO LOS PORTEÑOS,08:48:29
[BG]CEMENT X BELG. A GUTIERREZ,09:00:29
[B11] CEMENT. X BELG. A C BELL,09:13:29
[D] X CENTENARIO A SEGUI,09:19:19
[TOP] A V. ELISA X CENTENARIO,09:28:53
[G] X 19 X BELGRANO A.SEGUI,09:44:20
[F] X19 X CENTENARIO A GORINA,09:48:29
[A1] CEMENT. L.P. A 32 Y 120,09:58:29
[BC] CEMENT. X BELG. A C BELL,10:13:29
[D] X CENTENARIO A SEGUI,10:19:19
[HX28] CLUB.EST. A ARCO.,10:33:29
[C] CEMENT. POR BELG. A GORINA,10:38:29
[G] X 19 X BELGRANO A.SEGUI,10:44:20
[I] X CENTENARIO LOS PORTEÑOS,10:48:29
[TOP] A V. ELISA X CENTENARIO,10:58:53
[BG]CEMENT X BELG. A GUTIERREZ,11:00:29
[B11] CEMENT. X BELG. A C BELL,11:13:29
[D] X CENTENARIO A SEGUI,11:19:19
[418] A BERAZATEGUI,11:37:54
[G] X 19 X BELGRANO A.SEGUI,11:44:20
[F] X19 X CENTENARIO A GORINA,11:48:29
