Nombre,Hora,Diferencia_Minutos
[D] X CENTENARIO A SEGUI,05:19:19
[C] CEMENT. POR BELG. A GORINA,05:44:29
[G] X 19 X BELGRANO A.SEGUI,05:49:20
[A1] CEMENT. L.P. A 32 Y 120,06:03:29
[D] X CENTENARIO A SEGUI,06:09:19
[G] X 19 X BELGRANO A.SEGUI,06:24:20
[I] X CENTENARIO LOS PORTEÑOS,06:28:29
[D] X CENTENARIO A SEGUI,06:39:19
[F] X19 X CENTENARIO A GORINA,06:48:29
[418] A BERAZATEGUI,06:52:54
[G] X 19 X BELGRANO A.SEGUI,06:54:20
[BG]CEMENT X BELG. A GUTIERREZ,07:05:29
[D] X CENTENARIO A SEGUI,07:09:19
[TOP] A V. ELISA X CENTENARIO,07:28:53
[B11] CEMENT. X BELG. A C BELL,07:33:29
[D] X CENTENARIO A SEGUI,07:39:19
[C] CEMENT. POR BELG. A GORINA,07:48:29
[G] X 19 X BELGRANO A.SEGUI,07:54:20
[A1] CEMENT. L.P. A 32 Y 120,08:03:29
[D] X CENTENARIO A SEGUI,08:09:19
[TOP] A V. ELISA X CENTENARIO,08:13:53
[I] X CENTENARIO LOS PORTEÑOS,08:18:29
[G] X 19 X BELGRANO A.SEGUI,08:24:20
[418] A BERAZATEGUI,08:42:54
[HX28] CLUB.EST. A ARCO.,08:43:29
[F] X19 X CENTENARIO A GORINA,08:48:29
[G] X 19 X BELGRANO A.SEGUI,08:54:20
[BG]CEMENT X BELG. A GUTIERREZ,09:00:29
[TOP] A V. ELISA X CENTENARIO,09:03:53
[G] X 19 X BELGRANO A.SEGUI,09:24:20
[B11] CEMENT. X BELG. A C BELL,09:33:29
[D] X CENTENARIO A SEGUI,09:39:19
[C] CEMENT. POR BELG. A GORINA,09:48:29
[TOP] A V. ELISA X CENTENARIO,09:48:53
[G] X 19 X BELGRANO A.SEGUI,09:54:20
[A1] CEMENT. L.P. A 32 Y 120,10:03:29
[D] X CENTENARIO A SEGUI,10:14:19
[I] X CENTENARIO LOS PORTEÑOS,10:18:29
[418] A BERAZATEGUI,10:37:54
[TOP] A V. ELISA X CENTENARIO,10:38:53
[D] X CENTENARIO A SEGUI,10:39:19
[HX28] CLUB.EST. A ARCO.,10:43:29
[F] X19 X CENTENARIO A GORINA,10:48:29
[G] X 19 X BELGRANO A.SEGUI,10:54:20
[BG]CEMENT X BELG. A GUTIERREZ,11:00:29
[D] X CENTENARIO A SEGUI,11:09:19
[TOP] A V. ELISA X CENTENARIO,11:23:53
[G] X 19 X BELGRANO A.SEGUI,11:24:20
[B11] CEMENT. X BELG. A C BELL,11:33:29
[D] X CENTENARIO A SEGUI,11:39:19
[C] CEMENT. POR BELG. A GORINA,11:46:29
[A1] CEMENT. L.P. A 32 Y 120,12:03:29
[I] X CENTENARIO LOS PORTEÑOS,12:06:29
[D] X CENTENARIO A SEGUI,12:09:19
[TOP] A V. ELISA X CENTENARIO,12:13:53
[G] X 19 X BELGRANO A.SEGUI,12:24:20
[418] A BERAZATEGUI,12:27:54
[D] X CENTENARIO A SEGUI,12:39:19
[HX28] CLUB.EST. A ARCO.,12:43:29
[F] X19 X CENTENARIO A GORINA,12:48:29
[TOP] A V. ELISA X CENTENARIO,12:58:53
[BG]CEMENT X BELG. A GUTIERREZ,13:00:29
[D] X CENTENARIO A SEGUI,13:09:19
[I] X CENTENARIO LOS PORTEÑOS,13:18:29
[B11] CEMENT. X BELG. A C BELL,13:20:29
[G] X 19 X BELGRANO A.SEGUI,13:24:20
[A1] CEMENT. L.P. A 32 Y 120,13:28:29
[HX28] CLUB.EST. A ARCO.,13:33:29
[D] X CENTENARIO A SEGUI,13:39:19
[C] CEMENT. POR BELG. A GORINA,13:43:29
[TOP] A V. ELISA X CENTENARIO,13:52:54
[F] X19 X CENTENARIO A GORINA,13:58:29
[A1] CEMENT. L.P. A 32 Y 120,14:03:29
[G] X 19 X BELGRANO A.SEGUI,14:07:20
[D] X CENTENARIO A SEGUI,14:09:19
[418] A BERAZATEGUI,14:17:54
[I] X CENTENARIO LOS PORTEÑOS,14:35:29
[TOP] A V. ELISA X CENTENARIO,14:37:54
[BC] CEMENT. X BELG. A C BELL,14:40:29
[D] X CENTENARIO A SEGUI,14:41:19
[HX28] CLUB.EST. A ARCO.,14:43:29
[G] X 19 X BELGRANO A.SEGUI,14:44:20
[A1] CEMENT. L.P. A 32 Y 120,14:48:29
[C] CEMENT. POR BELG. A GORINA,14:48:29
[D] X CENTENARIO A SEGUI,15:09:19
[A1] CEMENT. L.P. A 32 Y 120,15:18:29
[I] X CENTENARIO LOS PORTEÑOS,15:18:29
[TOP] A V. ELISA X CENTENARIO,15:18:53
[G] X 19 X BELGRANO A.SEGUI,15:27:20
[B11] CEMENT. X BELG. A C BELL,15:33:29
[F] X19 X CENTENARIO A GORINA,15:38:29
[BG]CEMENT X BELG. A GUTIERREZ,15:45:29
[G] X 19 X BELGRANO A.SEGUI,15:54:20
[D] X CENTENARIO A SEGUI,15:59:19
[A1] CEMENT. L.P. A 32 Y 120,16:03:29
[TOP] A V. ELISA X CENTENARIO,16:03:53
[418] A BERAZATEGUI,16:07:54
[I] X CENTENARIO LOS PORTEÑOS,16:18:29
[HX28] CLUB.EST. A ARCO.,16:33:29
[G] X 19 X BELGRANO A.SEGUI,16:34:20
[C] CEMENT. POR BELG. A GORINA,16:43:29
[D] X CENTENARIO A SEGUI,16:44:19
[BC] CEMENT. X BELG. A C BELL,16:48:29
[TOP] A V. ELISA X CENTENARIO,16:53:53
[BG]CEMENT X BELG. A GUTIERREZ,17:05:29
[A1] CEMENT. L.P. A 32 Y 120,17:08:29
[G] X 19 X BELGRANO A.SEGUI,17:14:20
[I] X CENTENARIO LOS PORTEÑOS,17:18:29
[D] X CENTENARIO A SEGUI,17:24:19
[B11] CEMENT. X BELG. A C BELL,17:33:29
[C] CEMENT. POR BELG. A GORINA,17:38:29
[F] X19 X CENTENARIO A GORINA,17:38:29
[TOP] A V. ELISA X CENTENARIO,17:38:53
[G] X 19 X BELGRANO A.SEGUI,17:54:20
[418] A BERAZATEGUI,17:57:54
[D] X CENTENARIO A SEGUI,17:59:19
[A1] CEMENT. L.P. A 32 Y 120,18:03:29
[I] X CENTENARIO LOS PORTEÑOS,18:18:29
[TOP] A V. ELISA X CENTENARIO,18:28:53
[D] X CENTENARIO A SEGUI,18:29:19
[G] X 19 X BELGRANO A.SEGUI,18:34:20
