Nombre,Hora,Diferencia_Minutos
[D] X CENTENARIO A SEGUI,00:14:18
[338] A SAN JUSTO (X RUTA 4),00:52:46
[D] X CENTENARIO A SEGUI,01:04:18
[D] X CENTENARIO A SEGUI,01:52:52
[338] A SAN JUSTO (X PASCO),02:27:45
[D] X CENTENARIO A SEGUI,04:16:18
[338] A SAN JUSTO (X PASCO),04:17:30
[338] A VARELA (X CENTENARIO),04:46:30
[G] X 19 X BELGRANO A.SEGUI,04:54:18
[338] A MORON (X PASCO),05:07:45
[I] X CENTENARIO LOS PORTEÑOS,05:18:18
[B11] CEMENT. X BELG. A C BELL,05:23:19
[338] A MORON (X RUTA 4),05:24:30
[HX28] CLUB.EST. A ARCO.,05:33:18
[338] A MORON (X PASCO),05:42:30
[F] X19 X CENTENARIO A GORINA,05:42:53
[D] X CENTENARIO A SEGUI,05:44:18
[BC] CEMENT. X BELG. A C BELL,05:53:19
[G] X 19 X BELGRANO A.SEGUI,06:04:18
[338] A MORON (X RUTA 4),06:04:30
[I] X CENTENARIO LOS PORTEÑOS,06:08:18
[A1] CEMENT. L.P. A 32 Y 120,06:13:18
[338] A VARELA (X CENTENARIO),06:16:30
[BG]CEMENT X BELG. A GUTIERREZ,06:21:19
[338] A MORON (X PASCO),06:22:30
[C] CEMENT. POR BELG. A GORINA,06:23:19
[D] X CENTENARIO A SEGUI,06:24:18
[HX28] CLUB.EST. A ARCO.,06:33:18
[G] X 19 X BELGRANO A.SEGUI,06:39:18
[338] A SAN JUSTO (X RUTA 4),06:47:46
[5]- A BARRIO SAVOIA,06:48:08
[I] HASTA COUNTRY LOMAS IDA,06:48:44
[F] X19 X CENTENARIO A GORINA,06:52:53
[B11] CEMENT. X BELG. A C BELL,06:53:19
[D] X CENTENARIO A SEGUI,06:54:18
[BG]CEMENT X BELG. A GUTIERREZ,06:55:19
[418] A BERAZATEGUI,06:56:01
[I] X CENTENARIO LOS PORTEÑOS,06:58:18
[A1] CEMENT. L.P. A 32 Y 120,07:03:18
[G] X 19 X BELGRANO A.SEGUI,07:09:18
[338] A SAN JUSTO (X PASCO),07:11:45
[D] X CENTENARIO A SEGUI,07:19:18
[C] CEMENT. POR BELG. A GORINA,07:23:19
[HX28] CLUB.EST. A ARCO.,07:33:18
[TOP] A V. ELISA X CENTENARIO,07:34:06
[338] A SAN JUSTO (X RUTA 4),07:35:46
[G] X 19 X BELGRANO A.SEGUI,07:39:18
[338] A VARELA (X CENTENARIO),07:41:30
[I] X CENTENARIO LOS PORTEÑOS,07:48:18
[F] X19 X CENTENARIO A GORINA,07:52:53
[A1] CEMENT. L.P. A 32 Y 120,07:53:18
[BC] CEMENT. X BELG. A C BELL,07:53:19
[D] X CENTENARIO A SEGUI,07:54:18
[338] A MORON (X PASCO),07:54:30
[G] X 19 X BELGRANO A.SEGUI,08:09:18
[BG]CEMENT X BELG. A GUTIERREZ,08:15:19
[TOP] A V. ELISA X CENTENARIO,08:19:06
[C] CEMENT. POR BELG. A GORINA,08:23:19
[D] X CENTENARIO A SEGUI,08:24:18
[338] A SAN JUSTO (X RUTA 4),08:27:46
[HX28] CLUB.EST. A ARCO.,08:33:18
[5]- A BARRIO SAVOIA,08:38:08
[I] X CENTENARIO LOS PORTEÑOS,08:38:18
[G] X 19 X BELGRANO A.SEGUI,08:39:18
[A1] CEMENT. L.P. A 32 Y 120,08:43:18
[418] A BERAZATEGUI,08:46:01
[338] A SAN JUSTO (X PASCO),08:51:45
[F] X19 X CENTENARIO A GORINA,08:52:53
[B11] CEMENT. X BELG. A C BELL,08:53:19
[D] X CENTENARIO A SEGUI,08:54:18
[338] A VARELA (X CENTENARIO),09:02:30
[TOP] A V. ELISA X CENTENARIO,09:09:06
[G] X 19 X BELGRANO A.SEGUI,09:11:44
[338] A MORON (X RUTA 4),09:12:30
[C] CEMENT. POR BELG. A GORINA,09:23:44
