Nombre,Hora
[D] X CENTENARIO A SEGUI,00:06:44
[338] A MORON (X RUTA 4),00:12:30
[338] A SAN JUSTO (X RUTA 4),01:17:46
[338] A SAN JUSTO (X PASCO),01:41:45
[338] A SAN JUSTO (X RUTA 4),02:17:46
[338] A SAN JUSTO (X PASCO),02:41:45
[338] A SAN JUSTO (X RUTA 4),03:27:46
[D] X CENTENARIO A SEGUI,05:16:44
[338] A VARELA (X CENTENARIO),05:17:30
[B11] CEMENT. X BELG. A C BELL,05:28:45
[F] X19 X CENTENARIO A GORINA,05:53:47
[338] A VARELA (X CENTENARIO),05:56:30
[A1] CEMENT. L.P. A 32 Y 120,05:58:44
[338] A MORON (X RUTA 4),06:12:30
[BC] CEMENT. X BELG. A C BELL,06:18:45
[D] X CENTENARIO A SEGUI,06:26:44
[HX28] CLUB.EST. A ARCO.,06:38:18
[338] A SAN JUSTO (X PASCO),06:38:30
[C] CEMENT. POR BELG. A GORINA,06:43:44
[G] X 19 X BELGRANO A.SEGUI,06:51:44
[I] X CENTENARIO LOS PORTEÑOS,06:53:44
[338] A VARELA (X CENTENARIO),07:01:30
[BG]CEMENT X BELG. A GUTIERREZ,07:06:45
[338] A MORON (X RUTA 4),07:12:30
[B11] CEMENT. X BELG. A C BELL,07:18:45
[D] X CENTENARIO A SEGUI,07:26:44
[338] A SAN JUSTO (X PASCO),07:38:30
[TOP] A V. ELISA X CENTENARIO,07:44:06
[418] A BERAZATEGUI,07:51:01
[G] X 19 X BELGRANO A.SEGUI,07:51:44
[F] X19 X CENTENARIO A GORINA,07:53:47
[338] A VARELA (X CENTENARIO),07:58:30
[A1] CEMENT. L.P. A 32 Y 120,08:03:44
[338] A MORON (X RUTA 4),08:12:30
[BC] CEMENT. X BELG. A C BELL,08:18:45
[D] X CENTENARIO A SEGUI,08:26:44
[HX28] CLUB.EST. A ARCO.,08:38:18
[338] A SAN JUSTO (X PASCO),08:38:30
[C] CEMENT. POR BELG. A GORINA,08:43:44
[G] X 19 X BELGRANO A.SEGUI,08:51:44
[I] X CENTENARIO LOS PORTEÑOS,08:53:44
[338] A VARELA (X CENTENARIO),08:56:30
[BG]CEMENT X BELG. A GUTIERREZ,09:06:45
[338] A MORON (X RUTA 4),09:12:30
[B11] CEMENT. X BELG. A C BELL,09:18:45
[D] X CENTENARIO A SEGUI,09:26:44
[TOP] A V. ELISA X CENTENARIO,09:34:06
[338] A SAN JUSTO (X PASCO),09:38:30
[G] X 19 X BELGRANO A.SEGUI,09:51:44
[F] X19 X CENTENARIO A GORINA,09:53:47
[338] A VARELA (X CENTENARIO),09:56:30
[A1] CEMENT. L.P. A 32 Y 120,10:03:44
[338] A MORON (X RUTA 4),10:12:30
[BC] CEMENT. X BELG. A C BELL,10:18:45
[D] X CENTENARIO A SEGUI,10:26:44
[338] A VARELA (X CENTENARIO),10:29:30
[HX28] CLUB.EST. A ARCO.,10:38:18
[338] A SAN JUSTO (X PASCO),10:38:30
[C] CEMENT. POR BELG. A GORINA,10:43:44
[G] X 19 X BELGRANO A.SEGUI,10:51:44
[I] X CENTENARIO LOS PORTEÑOS,10:53:44
[338] A VARELA (X CENTENARIO),11:01:30
[TOP] A V. ELISA X CENTENARIO,11:04:06
[BG]CEMENT X BELG. A GUTIERREZ,11:06:45
[338] A MORON (X RUTA 4),11:12:30
[B11] CEMENT. X BELG. A C BELL,11:18:45
[D] X CENTENARIO A SEGUI,11:26:44
[338] A SAN JUSTO (X PASCO),11:38:30
[418] A BERAZATEGUI,11:41:01
[G] X 19 X BELGRANO A.SEGUI,11:51:44
[F] X19 X CENTENARIO A GORINA,11:53:47
[338] A VARELA (X CENTENARIO),11:58:30
[A1] CEMENT. L.P. A 32 Y 120,12:03:44
[338] A MORON (X RUTA 4),12:12:30
[BC] CEMENT. X BELG. A C BELL,12:18:45
[D] X CENTENARIO A SEGUI,12:26:44
[TOP] A V. ELISA X CENTENARIO,12:34:06
[HX28] CLUB.EST. A ARCO.,12:38:18
[338] A SAN JUSTO (X PASCO),12:38:30
[C] CEMENT. POR BELG. A GORINA,12:43:44
[G] X 19 X BELGRANO A.SEGUI,12:51:44
[I] X CENTENARIO LOS PORTEÑOS,12:53:44
[338] A VARELA (X CENTENARIO),12:58:30
[BG]CEMENT X BELG. A GUTIERREZ,13:06:45
[338] A MORON (X RUTA 4),13:12:30
[B11] CEMENT. X BELG. A C BELL,13:18:45
[D] X CENTENARIO A SEGUI,13:26:44
[338] A SAN JUSTO (X PASCO),13:38:30
[G] X 19 X BELGRANO A.SEGUI,13:51:44
[F] X19 X CENTENARIO A GORINA,13:53:47
[338] A VARELA (X CENTENARIO),13:57:30
[TOP] A V. ELISA X CENTENARIO,14:02:06
[A1] CEMENT. L.P. A 32 Y 120,14:03:44
[338] A MORON (X RUTA 4),14:12:30
[BC] CEMENT. X BELG. A C BELL,14:18:45
[D] X CENTENARIO A SEGUI,14:26:44
[HX28] CLUB.EST. A ARCO.,14:38:18
[338] A SAN JUSTO (X PASCO),14:38:30
[C] CEMENT. POR BELG. A GORINA,14:43:44
[G] X 19 X BELGRANO A.SEGUI,14:51:44
[I] X CENTENARIO LOS PORTEÑOS,14:53:44
[338] A VARELA (X CENTENARIO),14:58:30
[BG]CEMENT X BELG. A GUTIERREZ,15:06:45
[338] A MORON (X RUTA 4),15:12:30
[B11] CEMENT. X BELG. A C BELL,15:18:45
[D] X CENTENARIO A SEGUI,15:26:44
[TOP] A V. ELISA X CENTENARIO,15:34:06
[418] A BERAZATEGUI,15:36:01
[338] A SAN JUSTO (X PASCO),15:38:30
[G] X 19 X BELGRANO A.SEGUI,15:51:44
[F] X19 X CENTENARIO A GORINA,15:53:47
[338] A VARELA (X CENTENARIO),15:58:30
[A1] CEMENT. L.P. A 32 Y 120,16:03:44
[338] A MORON (X RUTA 4),16:12:30
[BC] CEMENT. X BELG. A C BELL,16:18:45
[D] X CENTENARIO A SEGUI,16:26:44
[338] A VARELA (X CENTENARIO),16:28:30
[HX28] CLUB.EST. A ARCO.,16:38:18
[338] A SAN JUSTO (X PASCO),16:38:30
[C] CEMENT. POR BELG. A GORINA,16:43:44
[G] X 19 X BELGRANO A.SEGUI,16:51:44
[I] X CENTENARIO LOS PORTEÑOS,16:53:44
[338] A VARELA (X CENTENARIO),17:01:30
[TOP] A V. ELISA X CENTENARIO,17:04:06
[BG]CEMENT X BELG. A GUTIERREZ,17:06:45
[338] A MORON (X RUTA 4),17:12:30
[B11] CEMENT. X BELG. A C BELL,17:18:45
[D] X CENTENARIO A SEGUI,17:26:44
[338] A SAN JUSTO (X PASCO),17:41:45
[G] X 19 X BELGRANO A.SEGUI,17:51:44
[F] X19 X CENTENARIO A GORINA,17:53:47
[338] A VARELA (X CENTENARIO),17:58:30
[A1] CEMENT. L.P. A 32 Y 120,18:03:44
[D] X CENTENARIO A SEGUI,18:06:44
[338] A MORON (X RUTA 4),18:12:30
[BC] CEMENT. X BELG. A C BELL,18:18:45
[D] X CENTENARIO A SEGUI,18:26:44
[TOP] A V. ELISA X CENTENARIO,18:34:06
[HX28] CLUB.EST. A ARCO.,18:38:18
[338] A SAN JUSTO (X PASCO),18:38:30
