Nombre,Hora
[338] A SAN JUSTO (X PASCO),00:02:30
[D] X CENTENARIO A SEGUI,00:28:18
[338] A SAN JUSTO (X RUTA 4),00:41:31
[D] X CENTENARIO A SEGUI,01:13:18
[338] A SAN JUSTO (X PASCO),01:21:30
[D] X CENTENARIO A SEGUI,01:53:18
[338] A SAN JUSTO (X PASCO),03:02:30
[D] X CENTENARIO A SEGUI,03:53:18
[338] A SAN JUSTO (X RUTA 4),04:01:31
[338] A SAN JUSTO (X PASCO),04:31:30
[G] X 19 X BELGRANO A.SEGUI,04:56:44
[338] A VARELA (X CENTENARIO),05:01:30
[338] A SAN JUSTO (X RUTA 4),05:16:46
[D] X CENTENARIO A SEGUI,05:23:18
[338] A VARELA (X CENTENARIO),05:31:30
[B11] CEMENT. X BELG. A C BELL,05:32:45
[C] CEMENT. POR BELG. A GORINA,05:43:44
[338] A SAN JUSTO (X PASCO),05:46:45
[D] X CENTENARIO A SEGUI,05:53:18
[A1] CEMENT. L.P. A 32 Y 120,06:03:44
[G] X 19 X BELGRANO A.SEGUI,06:11:44
[F] X19 X CENTENARIO A GORINA,06:13:46
[338] A SAN JUSTO (X RUTA 4),06:16:46
[C] CEMENT. POR BELG. A GORINA,06:21:44
[D] X CENTENARIO A SEGUI,06:23:18
[338] A VARELA (X CENTENARIO),06:26:30
[BC] CEMENT. X BELG. A C BELL,06:32:45
[I] X CENTENARIO LOS PORTEÑOS,06:38:44
[G] X 19 X BELGRANO A.SEGUI,06:41:44
[338] A SAN JUSTO (X PASCO),06:41:45
[A1] CEMENT. L.P. A 32 Y 120,06:48:44
[BG]CEMENT X BELG. A GUTIERREZ,06:51:45
[D] X CENTENARIO A SEGUI,06:53:18
[418] A BERAZATEGUI,06:56:01
[338] A SAN JUSTO (X RUTA 4),06:56:31
[HX28] CLUB.EST. A ARCO.,06:58:18
[F] X19 X CENTENARIO A GORINA,07:08:46
[338] A SAN JUSTO (X PASCO),07:11:30
[G] X 19 X BELGRANO A.SEGUI,07:11:44
[338] A SAN JUSTO (X RUTA 4),07:22:31
[D] X CENTENARIO A SEGUI,07:23:18
[B11] CEMENT. X BELG. A C BELL,07:32:45
[A1] CEMENT. L.P. A 32 Y 120,07:33:44
[TOP] A V. ELISA X CENTENARIO,07:34:06
[338] A VARELA (X CENTENARIO),07:36:30
[I] X CENTENARIO LOS PORTEÑOS,07:38:44
[G] X 19 X BELGRANO A.SEGUI,07:41:44
[C] CEMENT. POR BELG. A GORINA,07:43:44
[338] A SAN JUSTO (X PASCO),07:46:45
[D] X CENTENARIO A SEGUI,07:53:18
[338] A SAN JUSTO (X RUTA 4),08:06:46
[F] X19 X CENTENARIO A GORINA,08:08:46
[G] X 19 X BELGRANO A.SEGUI,08:11:44
[A1] CEMENT. L.P. A 32 Y 120,08:18:44
[TOP] A V. ELISA X CENTENARIO,08:19:06
[D] X CENTENARIO A SEGUI,08:23:18
[338] A SAN JUSTO (X PASCO),08:26:45
[BC] CEMENT. X BELG. A C BELL,08:32:45
[338] A VARELA (X CENTENARIO),08:36:30
[I] X CENTENARIO LOS PORTEÑOS,08:37:44
[G] X 19 X BELGRANO A.SEGUI,08:40:44
[418] A BERAZATEGUI,08:46:01
[338] A MORON (X RUTA 4),08:46:30
[BG]CEMENT X BELG. A GUTIERREZ,08:51:45
[D] X CENTENARIO A SEGUI,08:53:18
[HX28] CLUB.EST. A ARCO.,08:58:18
[338] A SAN JUSTO (X PASCO),09:06:45
[F] X19 X CENTENARIO A GORINA,09:08:46
[TOP] A V. ELISA X CENTENARIO,09:09:06
[G] X 19 X BELGRANO A.SEGUI,09:10:44
[338] A VARELA (X CENTENARIO),09:16:30
[A1] CEMENT. L.P. A 32 Y 120,09:16:44
[D] X CENTENARIO A SEGUI,09:23:18
[338] A SAN JUSTO (X RUTA 4),09:26:46
[B11] CEMENT. X BELG. A C BELL,09:32:45
[I] X CENTENARIO LOS PORTEÑOS,09:37:44
[G] X 19 X BELGRANO A.SEGUI,09:40:44
[338] A MORON (X PASCO),09:42:30
[C] CEMENT. POR BELG. A GORINA,09:44:44
[D] X CENTENARIO A SEGUI,09:53:18
[TOP] A V. ELISA X CENTENARIO,09:54:06
[338] A VARELA (X CENTENARIO),09:56:30
[338] A SAN JUSTO (X RUTA 4),10:06:46
[F] X19 X CENTENARIO A GORINA,10:08:46
[G] X 19 X BELGRANO A.SEGUI,10:10:44
[A1] CEMENT. L.P. A 32 Y 120,10:13:44
[D] X CENTENARIO A SEGUI,10:23:18
[338] A SAN JUSTO (X PASCO),10:26:45
[BC] CEMENT. X BELG. A C BELL,10:32:45
[I] X CENTENARIO LOS PORTEÑOS,10:37:44
[G] X 19 X BELGRANO A.SEGUI,10:40:44
[418] A BERAZATEGUI,10:41:01
[338] A MORON (X RUTA 4),10:43:45
[TOP] A V. ELISA X CENTENARIO,10:44:06
[BG]CEMENT X BELG. A GUTIERREZ,10:51:45
[D] X CENTENARIO A SEGUI,10:53:18
[338] A VARELA (X CENTENARIO),10:56:30
[HX28] CLUB.EST. A ARCO.,10:58:18
[338] A SAN JUSTO (X PASCO),11:06:45
[F] X19 X CENTENARIO A GORINA,11:08:46
[G] X 19 X BELGRANO A.SEGUI,11:10:44
[A1] CEMENT. L.P. A 32 Y 120,11:18:44
[D] X CENTENARIO A SEGUI,11:23:18
[338] A SAN JUSTO (X RUTA 4),11:26:46
[TOP] A V. ELISA X CENTENARIO,11:29:06
[B11] CEMENT. X BELG. A C BELL,11:32:45
[I] X CENTENARIO LOS PORTEÑOS,11:37:44
[G] X 19 X BELGRANO A.SEGUI,11:40:44
[338] A MORON (X PASCO),11:42:30
[C] CEMENT. POR BELG. A GORINA,11:44:44
[D] X CENTENARIO A SEGUI,11:53:18
[338] A VARELA (X CENTENARIO),11:56:30
[A1] CEMENT. L.P. A 32 Y 120,12:03:44
[338] A SAN JUSTO (X RUTA 4),12:06:46
[F] X19 X CENTENARIO A GORINA,12:08:46
[G] X 19 X BELGRANO A.SEGUI,12:10:44
[TOP] A V. ELISA X CENTENARIO,12:19:06
[D] X CENTENARIO A SEGUI,12:23:18
[338] A SAN JUSTO (X PASCO),12:26:45
[418] A BERAZATEGUI,12:31:01
[BC] CEMENT. X BELG. A C BELL,12:32:45
[338] A VARELA (X CENTENARIO),12:36:30
[I] X CENTENARIO LOS PORTEÑOS,12:37:44
[G] X 19 X BELGRANO A.SEGUI,12:40:44
[338] A MORON (X RUTA 4),12:43:45
[A1] CEMENT. L.P. A 32 Y 120,12:48:44
[BG]CEMENT X BELG. A GUTIERREZ,12:51:45
[D] X CENTENARIO A SEGUI,12:53:18
[HX28] CLUB.EST. A ARCO.,12:58:18
[TOP] A V. ELISA X CENTENARIO,13:04:06
[338] A SAN JUSTO (X PASCO),13:06:45
[F] X19 X CENTENARIO A GORINA,13:08:46
[G] X 19 X BELGRANO A.SEGUI,13:10:44
[D] X CENTENARIO A SEGUI,13:23:18
[338] A SAN JUSTO (X RUTA 4),13:26:46
[B11] CEMENT. X BELG. A C BELL,13:32:45
[A1] CEMENT. L.P. A 32 Y 120,13:33:44
[338] A VARELA (X CENTENARIO),13:36:30
[I] X CENTENARIO LOS PORTEÑOS,13:37:44
[G] X 19 X BELGRANO A.SEGUI,13:40:44
[338] A MORON (X PASCO),13:42:30
[C] CEMENT. POR BELG. A GORINA,13:44:44
[D] X CENTENARIO A SEGUI,13:53:18
[TOP] A V. ELISA X CENTENARIO,13:57:06
[338] A SAN JUSTO (X RUTA 4),14:06:31
[F] X19 X CENTENARIO A GORINA,14:08:46
[G] X 19 X BELGRANO A.SEGUI,14:10:44
[338] A VARELA (X CENTENARIO),14:16:30
[A1] CEMENT. L.P. A 32 Y 120,14:18:44
[418] A BERAZATEGUI,14:21:01
[D] X CENTENARIO A SEGUI,14:23:18
[338] A SAN JUSTO (X PASCO),14:26:45
[BC] CEMENT. X BELG. A C BELL,14:32:45
[I] X CENTENARIO LOS PORTEÑOS,14:37:44
[G] X 19 X BELGRANO A.SEGUI,14:40:44
[TOP] A V. ELISA X CENTENARIO,14:42:06
[338] A MORON (X RUTA 4),14:46:30
[BG]CEMENT X BELG. A GUTIERREZ,14:51:45
[D] X CENTENARIO A SEGUI,14:53:18
[HX28] CLUB.EST. A ARCO.,14:58:18
[A1] CEMENT. L.P. A 32 Y 120,15:03:44
[338] A SAN JUSTO (X PASCO),15:06:30
[F] X19 X CENTENARIO A GORINA,15:08:46
[G] X 19 X BELGRANO A.SEGUI,15:10:44
[338] A VARELA (X CENTENARIO),15:16:30
[D] X CENTENARIO A SEGUI,15:23:18
[TOP] A V. ELISA X CENTENARIO,15:24:06
[338] A SAN JUSTO (X RUTA 4),15:26:31
[B11] CEMENT. X BELG. A C BELL,15:32:45
[I] X CENTENARIO LOS PORTEÑOS,15:37:44
[G] X 19 X BELGRANO A.SEGUI,15:40:44
[338] A MORON (X PASCO),15:47:45
[A1] CEMENT. L.P. A 32 Y 120,15:48:44
[D] X CENTENARIO A SEGUI,15:53:18
[338] A VARELA (X CENTENARIO),15:56:30
[338] A SAN JUSTO (X RUTA 4),16:06:46
[C] CEMENT. POR BELG. A GORINA,16:07:44
[F] X19 X CENTENARIO A GORINA,16:08:46
[TOP] A V. ELISA X CENTENARIO,16:09:06
[G] X 19 X BELGRANO A.SEGUI,16:10:44
[418] A BERAZATEGUI,16:11:01
[D] X CENTENARIO A SEGUI,16:23:18
[338] A SAN JUSTO (X PASCO),16:26:30
[BC] CEMENT. X BELG. A C BELL,16:32:45
[A1] CEMENT. L.P. A 32 Y 120,16:33:44
[I] X CENTENARIO LOS PORTEÑOS,16:37:44
[G] X 19 X BELGRANO A.SEGUI,16:40:44
[338] A MORON (X RUTA 4),16:43:45
[BG]CEMENT X BELG. A GUTIERREZ,16:51:45
[D] X CENTENARIO A SEGUI,16:53:18
[338] A VARELA (X CENTENARIO),16:56:30
[HX28] CLUB.EST. A ARCO.,16:58:18
[TOP] A V. ELISA X CENTENARIO,16:59:06
[338] A SAN JUSTO (X PASCO),17:06:45
[F] X19 X CENTENARIO A GORINA,17:08:46
[G] X 19 X BELGRANO A.SEGUI,17:10:44
[A1] CEMENT. L.P. A 32 Y 120,17:18:44
[D] X CENTENARIO A SEGUI,17:23:18
[338] A SAN JUSTO (X RUTA 4),17:26:31
[B11] CEMENT. X BELG. A C BELL,17:32:45
[G] X 19 X BELGRANO A.SEGUI,17:35:44
[338] A VARELA (X CENTENARIO),17:36:30
[I] X CENTENARIO LOS PORTEÑOS,17:37:44
[D] X CENTENARIO A SEGUI,17:43:18
[TOP] A V. ELISA X CENTENARIO,17:44:06
[338] A MORON (X PASCO),17:47:45
[C] CEMENT. POR BELG. A GORINA,17:49:44
[G] X 19 X BELGRANO A.SEGUI,17:55:44
[418] A BERAZATEGUI,18:01:01
[D] X CENTENARIO A SEGUI,18:03:18
[A1] CEMENT. L.P. A 32 Y 120,18:03:44
[338] A SAN JUSTO (X RUTA 4),18:06:46
[I] X CENTENARIO LOS PORTEÑOS,18:07:44
[G] X 19 X BELGRANO A.SEGUI,18:15:44
[F] X19 X CENTENARIO A GORINA,18:16:46
[D] X CENTENARIO A SEGUI,18:23:18
[338] A SAN JUSTO (X PASCO),18:26:30
[TOP] A V. ELISA X CENTENARIO,18:34:06
[G] X 19 X BELGRANO A.SEGUI,18:35:44
[338] A VARELA (X CENTENARIO),18:36:30
[I] X CENTENARIO LOS PORTEÑOS,18:37:44
[D] X CENTENARIO A SEGUI,18:43:18
[BC] CEMENT. X BELG. A C BELL,18:43:45
[BG]CEMENT X BELG. A GUTIERREZ,18:51:45
[338] A MORON (X PASCO),18:52:30
