Nombre,Hora,Diferencia_Minutos
[D] X CENTENARIO A SEGUI,00:00:59
[D] X CENTENARIO AL CEMENT.,00:29:01
[D] X CENTENARIO A SEGUI,00:40:59
[D] X CENTENARIO AL CEMENT.,01:09:01
[D] X CENTENARIO A SEGUI,01:41:59
[D] X CENTENARIO AL CEMENT.,02:16:01
[D] X CENTENARIO A SEGUI,02:21:59
[D] X CENTENARIO AL CEMENT.,02:56:01
[D] X CENTENARIO A SEGUI,04:21:59
[D] X CENTENARIO AL CEMENT.,04:56:01
[D] X CENTENARIO A SEGUI,05:37:59
[D] X CENTENARIO A SEGUI,06:06:59
[HX28] CLUB EST. AL CEMENTERIO,06:08:32
[D] X CENTENARIO AL CEMENT.,06:12:01
[D] X CENTENARIO A SEGUI,06:24:59
[BG]GUTIERREZ X BELG.A CEMENT.,06:26:54
[HX28] CLUB EST. AL CEMENTERIO,06:35:32
[D] X CENTENARIO AL CEMENT.,06:40:21
[D] X CENTENARIO A SEGUI,06:44:59
[TOP] A P. MORENO X CENTENARIO,06:52:19
[338] A LA PLATA X CENTENARIO,06:53:16
[BG]GUTIERREZ X BELG.A CEMENT.,06:58:54
[D] X CENTENARIO AL CEMENT.,07:00:21
[HX28] CLUB EST. AL CEMENTERIO,07:11:32
[D] X CENTENARIO A SEGUI,07:11:59
[D] X CENTENARIO AL CEMENT.,07:20:21
[TOP] A P. MORENO X CENTENARIO,07:26:19
[BG]GUTIERREZ X BELG.A CEMENT.,07:26:54
[338] A LA PLATA X CENTENARIO,07:28:16
[D] X CENTENARIO A SEGUI,07:33:59
[418] A LA PLATA (PZA MORENO),07:46:52
[D] X CENTENARIO AL CEMENT.,07:47:21
[D] X CENTENARIO A SEGUI,07:51:59
[BG]GUTIERREZ X BELG.A CEMENT.,07:54:54
[HX28] CLUB EST. AL CEMENTERIO,07:58:32
[TOP] A P. MORENO X CENTENARIO,08:00:19
[D] X CENTENARIO AL CEMENT.,08:09:21
[D] X CENTENARIO A SEGUI,08:09:59
[338] A LA PLATA X CENTENARIO,08:21:16
[D] X CENTENARIO AL CEMENT.,08:27:21
[BG]GUTIERREZ X BELG.A CEMENT.,08:31:54
[D] X CENTENARIO A SEGUI,08:33:59
[TOP] A P. MORENO X CENTENARIO,08:34:19
[HX28] CLUB EST. AL CEMENTERIO,08:43:32
[D] X CENTENARIO AL CEMENT.,08:45:21
[D] X CENTENARIO A SEGUI,08:45:59
[D] X CENTENARIO A SEGUI,09:03:59
[HX28] CLUB EST. AL CEMENTERIO,09:05:32
[BG]GUTIERREZ X BELG.A CEMENT.,09:06:54
[TOP] A P. MORENO X CENTENARIO,09:08:19
[D] X CENTENARIO AL CEMENT.,09:09:21
[418] A LA PLATA (PZA MORENO),09:10:52
[D] X CENTENARIO AL CEMENT.,09:21:21
[D] X CENTENARIO A SEGUI,09:26:59
[HX28] CLUB EST. AL CEMENTERIO,09:33:32
[338] A LA PLATA X CENTENARIO,09:34:16
[D] X CENTENARIO AL CEMENT.,09:39:21
[D] X CENTENARIO A SEGUI,09:39:59
[TOP] A P. MORENO X CENTENARIO,09:42:19
[BG]GUTIERREZ X BELG.A CEMENT.,09:51:54
[D] X CENTENARIO A SEGUI,09:57:59
[D] X CENTENARIO AL CEMENT.,10:02:21
[HX28] CLUB EST. AL CEMENTERIO,10:08:32
[D] X CENTENARIO AL CEMENT.,10:15:21
[TOP] A P. MORENO X CENTENARIO,10:16:19
[D] X CENTENARIO A SEGUI,10:16:59
[BG]GUTIERREZ X BELG.A CEMENT.,10:21:54
[338] A LA PLATA X CENTENARIO,10:22:16
[418] A LA PLATA (PZA MORENO),10:32:52
[D] X CENTENARIO AL CEMENT.,10:33:21
[D] X CENTENARIO A SEGUI,10:36:59
[TOP] A P. MORENO X CENTENARIO,10:50:19
[HX28] CLUB EST. AL CEMENTERIO,10:50:32
[D] X CENTENARIO A SEGUI,10:51:59
[D] X CENTENARIO AL CEMENT.,10:52:21
[D] X CENTENARIO A SEGUI,11:09:59
[HX28] CLUB EST. AL CEMENTERIO,11:10:32
[BG]GUTIERREZ X BELG.A CEMENT.,11:11:54
[D] X CENTENARIO AL CEMENT.,11:12:21
[338] A LA PLATA X CENTENARIO,11:16:16
[TOP] A P. MORENO X CENTENARIO,11:24:19
[D] X CENTENARIO AL CEMENT.,11:27:21
[D] X CENTENARIO A SEGUI,11:27:59
[D] X CENTENARIO AL CEMENT.,11:45:21
[D] X CENTENARIO A SEGUI,11:45:59
[338] A LA PLATA X CENTENARIO,11:47:16
[HX28] CLUB EST. AL CEMENTERIO,11:50:32
[418] A LA PLATA (PZA MORENO),11:52:52
[TOP] A P. MORENO X CENTENARIO,11:54:19
[BG]GUTIERREZ X BELG.A CEMENT.,11:56:54
[D] X CENTENARIO AL CEMENT.,12:03:21
[D] X CENTENARIO A SEGUI,12:03:59
[D] X CENTENARIO AL CEMENT.,12:21:21
[D] X CENTENARIO A SEGUI,12:21:59
[HX28] CLUB EST. AL CEMENTERIO,12:25:32
[TOP] A P. MORENO X CENTENARIO,12:28:19
[D] X CENTENARIO AL CEMENT.,12:39:21
[D] X CENTENARIO A SEGUI,12:39:59
[BG]GUTIERREZ X BELG.A CEMENT.,12:41:54
[338] A LA PLATA X CENTENARIO,12:46:16
[D] X CENTENARIO AL CEMENT.,12:57:21
[D] X CENTENARIO A SEGUI,12:57:59
[TOP] A P. MORENO X CENTENARIO,13:02:19
[HX28] CLUB EST. AL CEMENTERIO,13:10:32
[418] A LA PLATA (PZA MORENO),13:11:14
[D] X CENTENARIO AL CEMENT.,13:15:21
[D] X CENTENARIO A SEGUI,13:15:59
[BG]GUTIERREZ X BELG.A CEMENT.,13:26:54
[D] X CENTENARIO AL CEMENT.,13:33:21
[D] X CENTENARIO A SEGUI,13:33:59
[HX28] CLUB EST. AL CEMENTERIO,13:34:32
[TOP] A P. MORENO X CENTENARIO,13:50:19
[D] X CENTENARIO AL CEMENT.,13:51:21
[D] X CENTENARIO A SEGUI,13:51:59
[338] A LA PLATA X CENTENARIO,13:53:16
[D] X CENTENARIO AL CEMENT.,14:09:21
[D] X CENTENARIO A SEGUI,14:09:59
[HX28] CLUB EST. AL CEMENTERIO,14:11:32
[BG]GUTIERREZ X BELG.A CEMENT.,14:11:54
[338] A LA PLATA X CENTENARIO,14:25:16
[D] X CENTENARIO AL CEMENT.,14:27:21
[D] X CENTENARIO A SEGUI,14:27:59
[418] A LA PLATA (PZA MORENO),14:33:14
[HX28] CLUB EST. AL CEMENTERIO,14:37:32
[D] X CENTENARIO AL CEMENT.,14:45:21
