Nombre,Hora,Diferencia_Minutos
[D] X CENTENARIO AL CEMENT.,00:26:01
[D] X CENTENARIO A SEGUI,00:32:59
[D] X CENTENARIO AL CEMENT.,01:06:01
[D] X CENTENARIO A SEGUI,05:42:59
[D] X CENTENARIO AL CEMENT.,06:16:01
[D] X CENTENARIO A SEGUI,06:52:59
[TOP] A P. MORENO X CENTENARIO,07:01:44
[338] A LA PLATA X CENTENARIO,07:02:31
[HX28] CLUB EST. AL CEMENTERIO,07:21:54
[D] X CENTENARIO AL CEMENT.,07:26:01
[338] A LA PLATA X CENTENARIO,07:41:31
[D] X CENTENARIO A SEGUI,07:52:59
[BG]GUTIERREZ X BELG.A CEMENT.,08:19:54
[D] X CENTENARIO AL CEMENT.,08:26:01
[338] A LA PLATA X CENTENARIO,08:46:31
[TOP] A P. MORENO X CENTENARIO,08:51:44
[D] X CENTENARIO A SEGUI,08:52:59
[HX28] CLUB EST. AL CEMENTERIO,09:21:54
[D] X CENTENARIO AL CEMENT.,09:26:01
[338] A LA PLATA X CENTENARIO,09:43:31
[D] X CENTENARIO A SEGUI,09:52:59
[BG]GUTIERREZ X BELG.A CEMENT.,10:19:54
[418] A LA PLATA (PZA MORENO),10:21:29
[TOP] A P. MORENO X CENTENARIO,10:21:44
[D] X CENTENARIO AL CEMENT.,10:26:01
[338] A LA PLATA X CENTENARIO,10:41:31
[D] X CENTENARIO A SEGUI,10:52:59
[HX28] CLUB EST. AL CEMENTERIO,11:21:54
[D] X CENTENARIO AL CEMENT.,11:26:01
[338] A LA PLATA X CENTENARIO,11:41:31
[TOP] A P. MORENO X CENTENARIO,11:51:44
[D] X CENTENARIO A SEGUI,11:52:59
[338] A LA PLATA X CENTENARIO,12:14:31
[BG]GUTIERREZ X BELG.A CEMENT.,12:19:54
[D] X CENTENARIO AL CEMENT.,12:26:01
[338] A LA PLATA X CENTENARIO,12:46:31
[D] X CENTENARIO A SEGUI,12:52:59
[TOP] A P. MORENO X CENTENARIO,13:21:44
[HX28] CLUB EST. AL CEMENTERIO,13:21:54
[D] X CENTENARIO AL CEMENT.,13:26:01
[338] A LA PLATA X CENTENARIO,13:43:31
[D] X CENTENARIO A SEGUI,13:52:59
[418] A LA PLATA (PZA MORENO),14:11:29
[BG]GUTIERREZ X BELG.A CEMENT.,14:19:54
[D] X CENTENARIO AL CEMENT.,14:26:01
[338] A LA PLATA X CENTENARIO,14:43:31
[TOP] A P. MORENO X CENTENARIO,14:51:44
[D] X CENTENARIO A SEGUI,14:52:59
[HX28] CLUB EST. AL CEMENTERIO,15:21:54
[D] X CENTENARIO AL CEMENT.,15:26:01
[338] A LA PLATA X CENTENARIO,15:42:31
[D] X CENTENARIO A SEGUI,15:52:59
[BG]GUTIERREZ X BELG.A CEMENT.,16:19:54
[TOP] A P. MORENO X CENTENARIO,16:21:44
[D] X CENTENARIO AL CEMENT.,16:26:01
[338] A LA PLATA X CENTENARIO,16:43:31
[D] X CENTENARIO A SEGUI,16:52:59
[HX28] CLUB EST. AL CEMENTERIO,17:21:54
[D] X CENTENARIO AL CEMENT.,17:26:01
[338] A LA PLATA X CENTENARIO,17:43:31
[TOP] A P. MORENO X CENTENARIO,17:51:44
[D] X CENTENARIO A SEGUI,17:52:59
[418] A LA PLATA (PZA MORENO),18:06:29
[338] A LA PLATA X CENTENARIO,18:13:31
[BG]GUTIERREZ X BELG.A CEMENT.,18:19:54
[D] X CENTENARIO AL CEMENT.,18:26:01
[D] X CENTENARIO A SEGUI,18:32:59
[338] A LA PLATA X CENTENARIO,18:46:31
[D] X CENTENARIO A SEGUI,18:52:59
[D] X CENTENARIO AL CEMENT.,19:06:01
[TOP] A P. MORENO X CENTENARIO,19:21:44
[HX28] CLUB EST. AL CEMENTERIO,19:21:54
[D] X CENTENARIO AL CEMENT.,19:26:01
[338] A LA PLATA X CENTENARIO,19:43:31
[D] X CENTENARIO A SEGUI,19:52:59
[BG]GUTIERREZ X BELG.A CEMENT.,20:19:54
[D] X CENTENARIO AL CEMENT.,20:26:01
[338] A LA PLATA X CENTENARIO,20:43:31
[TOP] A P. MORENO X CENTENARIO,20:43:44
[D] X CENTENARIO A SEGUI,20:52:59
[HX28] CLUB EST. AL CEMENTERIO,21:16:54
[BG]GUTIERREZ X BELG.A CEMENT.,21:19:54
[D] X CENTENARIO AL CEMENT.,21:26:01
[418] A LA PLATA (PZA MORENO),21:43:29
[338] A LA PLATA X CENTENARIO,21:46:31
[D] X CENTENARIO A SEGUI,21:52:59
[D] X CENTENARIO AL CEMENT.,22:26:01
[338] A LA PLATA X CENTENARIO,22:46:31
[338] A LA PLATA X CENTENARIO,23:46:31
[D] X CENTENARIO A SEGUI,23:52:59
