Nombre,Hora,Diferencia_Minutos
[D] X CENTENARIO AL CEMENT.,00:09:01
[D] X CENTENARIO A SEGUI,00:25:59
[D] X CENTENARIO A SEGUI,00:55:59
[D] X CENTENARIO AL CEMENT.,00:59:01
[D] X CENTENARIO AL CEMENT.,01:29:01
[D] X CENTENARIO A SEGUI,01:40:59
[D] X CENTENARIO AL CEMENT.,02:14:01
[D] X CENTENARIO A SEGUI,02:20:59
[D] X CENTENARIO AL CEMENT.,02:54:01
[D] X CENTENARIO A SEGUI,04:20:59
[D] X CENTENARIO AL CEMENT.,04:54:01
[D] X CENTENARIO A SEGUI,05:50:59
[D] X CENTENARIO A SEGUI,06:20:59
[D] X CENTENARIO AL CEMENT.,06:24:01
[D] X CENTENARIO A SEGUI,06:50:59
[TOP] A P. MORENO X CENTENARIO,06:51:44
[D] X CENTENARIO AL CEMENT.,06:54:01
[338] A LA PLATA X CENTENARIO,06:56:31
[D] X CENTENARIO A SEGUI,07:20:59
[D] X CENTENARIO AL CEMENT.,07:24:01
[338] A LA PLATA X CENTENARIO,07:31:31
[TOP] A P. MORENO X CENTENARIO,07:36:44
[HX28] CLUB EST. AL CEMENTERIO,07:41:54
[D] X CENTENARIO A SEGUI,07:50:59
[D] X CENTENARIO AL CEMENT.,07:54:01
[BG]GUTIERREZ X BELG.A CEMENT.,08:11:54
[D] X CENTENARIO A SEGUI,08:23:59
[D] X CENTENARIO AL CEMENT.,08:25:01
[TOP] A P. MORENO X CENTENARIO,08:26:44
[338] A LA PLATA X CENTENARIO,08:29:31
[D] X CENTENARIO A SEGUI,08:54:59
[D] X CENTENARIO AL CEMENT.,09:00:01
[TOP] A P. MORENO X CENTENARIO,09:11:44
[D] X CENTENARIO A SEGUI,09:24:59
[418] A LA PLATA (PZA MORENO),09:26:29
[D] X CENTENARIO AL CEMENT.,09:31:01
[338] A LA PLATA X CENTENARIO,09:36:31
[HX28] CLUB EST. AL CEMENTERIO,09:48:54
[D] X CENTENARIO A SEGUI,09:54:59
[D] X CENTENARIO AL CEMENT.,10:01:01
[TOP] A P. MORENO X CENTENARIO,10:01:44
[BG]GUTIERREZ X BELG.A CEMENT.,10:15:54
[D] X CENTENARIO A SEGUI,10:24:59
[338] A LA PLATA X CENTENARIO,10:26:31
[D] X CENTENARIO AL CEMENT.,10:31:01
[TOP] A P. MORENO X CENTENARIO,10:46:44
[D] X CENTENARIO A SEGUI,10:54:59
[D] X CENTENARIO AL CEMENT.,11:01:01
[338] A LA PLATA X CENTENARIO,11:14:31
[418] A LA PLATA (PZA MORENO),11:16:29
[D] X CENTENARIO A SEGUI,11:24:59
[D] X CENTENARIO AL CEMENT.,11:31:01
[TOP] A P. MORENO X CENTENARIO,11:36:44
[338] A LA PLATA X CENTENARIO,11:46:31
[HX28] CLUB EST. AL CEMENTERIO,11:48:54
[D] X CENTENARIO A SEGUI,11:54:59
[D] X CENTENARIO AL CEMENT.,12:01:01
[BG]GUTIERREZ X BELG.A CEMENT.,12:15:54
[TOP] A P. MORENO X CENTENARIO,12:21:44
[D] X CENTENARIO A SEGUI,12:24:59
[D] X CENTENARIO AL CEMENT.,12:31:01
[338] A LA PLATA X CENTENARIO,12:46:31
[D] X CENTENARIO A SEGUI,12:54:59
[D] X CENTENARIO AL CEMENT.,13:01:01
[TOP] A P. MORENO X CENTENARIO,13:06:44
[418] A LA PLATA (PZA MORENO),13:11:29
[D] X CENTENARIO A SEGUI,13:24:59
[D] X CENTENARIO AL CEMENT.,13:31:01
[HX28] CLUB EST. AL CEMENTERIO,13:48:54
[338] A LA PLATA X CENTENARIO,13:51:31
[TOP] A P. MORENO X CENTENARIO,13:51:44
[D] X CENTENARIO A SEGUI,13:54:59
[D] X CENTENARIO AL CEMENT.,14:01:01
[BG]GUTIERREZ X BELG.A CEMENT.,14:15:54
[D] X CENTENARIO A SEGUI,14:24:59
[338] A LA PLATA X CENTENARIO,14:28:31
[D] X CENTENARIO AL CEMENT.,14:31:01
[TOP] A P. MORENO X CENTENARIO,14:41:44
[D] X CENTENARIO A SEGUI,14:54:59
[D] X CENTENARIO AL CEMENT.,15:01:01
[418] A LA PLATA (PZA MORENO),15:01:29
[D] X CENTENARIO A SEGUI,15:24:59
[TOP] A P. MORENO X CENTENARIO,15:26:44
[D] X CENTENARIO AL CEMENT.,15:31:01
[338] A LA PLATA X CENTENARIO,15:31:31
[HX28] CLUB EST. AL CEMENTERIO,15:48:54
[D] X CENTENARIO A SEGUI,15:54:59
[D] X CENTENARIO AL CEMENT.,16:01:01
[338] A LA PLATA X CENTENARIO,16:06:31
[BG]GUTIERREZ X BELG.A CEMENT.,16:15:54
[TOP] A P. MORENO X CENTENARIO,16:16:44
[D] X CENTENARIO A SEGUI,16:24:59
[D] X CENTENARIO AL CEMENT.,16:31:01
[418] A LA PLATA (PZA MORENO),16:51:29
[D] X CENTENARIO A SEGUI,16:54:59
[D] X CENTENARIO AL CEMENT.,17:01:01
[TOP] A P. MORENO X CENTENARIO,17:01:44
[338] A LA PLATA X CENTENARIO,17:06:31
