Nombre,Hora,Diferencia_Minutos
[D] X CENTENARIO A SEGUI,00:02:53
[D] X CENTENARIO A SEGUI,00:42:53
[D] X CENTENARIO A SEGUI,05:52:53
[D] X CENTENARIO A SEGUI,07:02:53
[G] X 19 X BELGRANO A.SEGUI,07:23:53
[D] X CENTENARIO A SEGUI,08:02:53
[G] X 19 X BELGRANO A.SEGUI,08:23:53
[D] X CENTENARIO A SEGUI,09:02:53
[G] X 19 X BELGRANO A.SEGUI,09:23:53
[D] X CENTENARIO A SEGUI,10:02:53
[G] X 19 X BELGRANO A.SEGUI,10:23:53
[D] X CENTENARIO A SEGUI,11:02:53
[G] X 19 X BELGRANO A.SEGUI,11:23:53
[D] X CENTENARIO A SEGUI,12:02:53
[G] X 19 X BELGRANO A.SEGUI,12:23:53
[D] X CENTENARIO A SEGUI,13:02:53
[G] X 19 X BELGRANO A.SEGUI,13:23:53
[D] X CENTENARIO A SEGUI,14:02:53
[G] X 19 X BELGRANO A.SEGUI,14:23:53
[D] X CENTENARIO A SEGUI,15:02:53
[G] X 19 X BELGRANO A.SEGUI,15:23:53
[D] X CENTENARIO A SEGUI,16:02:53
[G] X 19 X BELGRANO A.SEGUI,16:23:53
[D] X CENTENARIO A SEGUI,17:02:53
[G] X 19 X BELGRANO A.SEGUI,17:23:53
[D] X CENTENARIO A SEGUI,18:02:53
[G] X 19 X BELGRANO A.SEGUI,18:23:53
[D] X CENTENARIO A SEGUI,18:42:53
[D] X CENTENARIO A SEGUI,19:02:53
[G] X 19 X BELGRANO A.SEGUI,19:23:53
[D] X CENTENARIO A SEGUI,20:02:53
[G] X 19 X BELGRANO A.SEGUI,20:23:53
[D] X CENTENARIO A SEGUI,21:02:53
[G] X 19 X BELGRANO A.SEGUI,21:43:53
[D] X CENTENARIO A SEGUI,22:02:53
[G] X 19 X BELGRANO A.SEGUI,22:28:53
